tmstm,rssi,type,mac
6134,-94,80,b4eeb490eb16
6155,-92,80,885dfba18808
6182,-91,b0,84100d9db237
6233,-91,50,885dfba18808
6272,-81,40,daa1198d2945
6314,-92,50,e069954e7a69
6337,-93,20,84100d9db237
6342,-92,48,84100d9db237
6430,-94,80,c4a366fd5998
6441,-92,80,b4eeb490eb16
6462,-90,80,885dfba18808
6464,-93,08,885dfba18808
6588,-91,80,e069954e7a69
6754,-93,50,c4a366fd5998
6759,-93,50,885dfba18808
6791,-97,48,20689db6ec2b
6865,-93,d0,84100d9db237
6871,-93,80,885dfba18808
6897,-92,80,e069954e7a69
6942,-91,80,c4a366fd5998
7008,-95,80,b4eeb490eb16
7195,-92,80,dc028ef63a98
7876,-80,40,168811c35019
8201,-92,80,e069951711dc
9192,-92,80,80c6abc53698
9302,-95,50,14cc2037940b
9326,-93,80,14cc2037940b
10143,-91,80,94877c63d8f0
10513,-89,80,74a78ee40c1c
11128,-80,80,24f27f837e01
11129,-80,80,24f27f837e02
11129,-81,80,24f27f837e03
11129,-81,80,24f27f837e04
11129,-81,80,24f27f837e05
11129,-81,80,24f27f837e06
11140,-92,80,603d26bd585a
11170,-88,80,6014b3e7da40
11208,-84,80,58238cc739dd
11218,-92,80,48c79672f4bd
11231,-81,80,24f27f837e00
11231,-81,80,24f27f837e01
11231,-80,80,24f27f837e02
11231,-80,80,24f27f837e03
11231,-81,80,24f27f837e04
11232,-81,80,24f27f837e05
11234,-81,80,24f27f837e06
11243,-92,80,603d26bd585a
11273,-87,80,6014b3e7da40
11302,-95,80,30b5c2972af8
11311,-84,80,58238cc739dd
11320,-92,80,48c79672f4bd
11322,-92,80,28be9b5d3ea6
11325,-91,80,9897d16fed60
11333,-81,80,24f27f837e00
11333,-81,80,24f27f837e01
11333,-81,80,24f27f837e02
11334,-81,80,24f27f837e03
11334,-81,80,24f27f837e04
11334,-81,80,24f27f837e05
11336,-81,80,24f27f837e06
11347,-92,80,603d26bd585a
11351,-87,50,6014b3e7da40
11380,-88,80,6014b3e7da40
11404,-94,80,30b5c2972af8
11412,-83,80,58238cc739dd
11426,-93,80,9897d16fed60
11429,-94,80,28be9b5d3ea6
11437,-80,80,24f27f837e00
11438,-80,80,24f27f837e01
11438,-81,80,24f27f837e02
11438,-81,80,24f27f837e03
11438,-80,80,24f27f837e04
11438,-81,80,24f27f837e05
11440,-81,80,24f27f837e06
11448,-90,80,603d26bd585a
11477,-88,80,6014b3e7da40
11500,-91,c8,601d9132215e
11506,-94,80,30b5c2972af8
11515,-84,80,58238cc739dd
11525,-92,80,48c79672f4bd
11538,-81,80,24f27f837e00
11538,-81,80,24f27f837e01
11538,-81,80,24f27f837e02
11538,-81,80,24f27f837e03
11539,-80,80,24f27f837e04
11539,-80,80,24f27f837e05
11541,-81,80,24f27f837e06
11550,-90,80,603d26bd585a
11577,-87,80,6014b3e7da40
11617,-83,80,58238cc739dd
11628,-91,80,48c79672f4bd
11640,-81,80,24f27f837e00
11640,-80,80,24f27f837e01
11641,-80,80,24f27f837e02
11641,-81,80,24f27f837e03
11641,-81,80,24f27f837e06
11652,-89,80,603d26bd585a
11682,-88,80,6014b3e7da40
11711,-95,80,30b5c2972af8
11720,-84,80,58238cc739dd
11731,-92,80,28be9b5d3ea6
11743,-81,80,24f27f837e00
11743,-81,80,24f27f837e01
11743,-81,80,24f27f837e02
11743,-81,80,24f27f837e03
11743,-81,80,24f27f837e04
11744,-81,80,24f27f837e05
11746,-81,80,24f27f837e06
11755,-91,80,603d26bd585a
11784,-88,80,6014b3e7da40
11822,-82,80,58238cc739dd
11832,-92,80,48c79672f4bd
11845,-81,80,24f27f837e00
11845,-80,80,24f27f837e01
11845,-80,80,24f27f837e02
11846,-81,80,24f27f837e03
11846,-81,80,24f27f837e04
11846,-81,80,24f27f837e05
11848,-81,80,24f27f837e06
11857,-88,80,603d26bd585a
11887,-89,80,6014b3e7da40
11921,-90,80,3817c3e73b65
11924,-84,80,58238cc739dd
11935,-91,80,48c79672f4bd
11936,-91,80,28be9b5d3ea6
11947,-81,80,24f27f837e00
11948,-81,80,24f27f837e01
11948,-81,80,24f27f837e02
11948,-81,80,24f27f837e03
11948,-81,80,24f27f837e04
11948,-81,80,24f27f837e05
11951,-81,80,24f27f837e06
11960,-91,80,603d26bd585a
11987,-89,80,6014b3e7da40
12028,-83,80,58238cc739dd
12037,-91,80,48c79672f4bd
12050,-81,80,24f27f837e00
12050,-81,80,24f27f837e01
12050,-80,80,24f27f837e03
12051,-81,80,24f27f837e04
12051,-81,80,24f27f837e05
12051,-80,80,24f27f837e06
12062,-88,80,603d26bd585a
12089,-87,80,6014b3e7da40
14135,-89,88,7829edf4be5e
14171,-85,80,603d266eae63
14178,-89,80,7829edf4be5e
14235,-95,80,cc3540568b91
14253,-93,08,7829edf4be5e
14271,-92,80,bc3e075dd938
14277,-92,88,7829edf4be5e
14284,-94,80,4632c87f4fed
14329,-91,80,9897d161dd00
14357,-90,80,146080cdc7e4
14384,-90,80,7829edf4be5e
14392,-91,80,8e04ffe80300
14395,-91,80,bc8556c32b6e
14406,-89,88,7829edf4be5e
14446,-94,80,88d274839ddc
14469,-86,08,603d266eae63
14486,-94,80,7829edf4be5e
14489,-94,80,4632c87f4fed
14494,-93,80,8e04ffe80300
14496,-90,80,bc8556c32b6e
14500,-90,88,7829edf4be5e
14529,-92,80,8c04ff764db5
14533,-89,80,9897d161dd00
14543,-92,80,cc3540568b91
14562,-90,80,146080cdc7e4
14575,-96,80,bc3e075dd938
14581,-85,80,603d266eae63
14585,-93,88,7829edf4be5e
14597,-92,80,8e04ffe80300
14598,-89,80,bc8556c32b6e
14631,-93,80,8c04ff764db5
14692,-90,80,7829edf4be5e
14795,-96,80,4432c87f4fec
14796,-92,80,4632c87f4fed
14812,-93,88,7829edf4be5e
14841,-90,80,9897d161dd00
14888,-84,80,603d266eae63
14895,-90,80,7829edf4be5e
14939,-91,80,8c04ff764db5
14950,-92,80,cc3540568b91
14956,-89,88,7829edf4be5e
14985,-87,80,bc3e075dd938
15006,-90,80,8e04ffe80300
15008,-89,80,bc8556c32b6e
15041,-89,80,8c04ff764db5
15073,-89,80,146080cdc7e4
15076,-93,88,7829edf4be5e
15484,-55,40,e4a471e61743
16129,-56,80,5ecf7f4c26a6
16157,-92,80,cc3540a1426f
16173,-92,80,94877c606310
16177,-64,80,18d6c76d350f
16367,-90,80,cc03fa886e02
16553,-65,08,18d6c76d350f
16642,-55,80,5ecf7f4c26a6
16772,-91,80,cc3540a1426f
16890,-91,80,94877c606310
16893,-64,80,18d6c76d350f
17176,-83,80,14abf0130dd0
17472,-83,50,14abf0130dd0
19136,-90,80,d0316941476f
19159,-93,80,885dfba18808
19183,-93,80,e069954e7a69
19322,-93,80,cc03fae5573d
19329,-94,80,c427953aae46
19333,-91,80,c4a366fd5998
19341,-92,80,d0316941476f
19364,-92,80,885dfba18808
19388,-93,80,e069954e7a69
19732,-93,80,cc03fae5573d
19966,-92,08,c427953aae46
20157,-85,f0,24f27f837e00
20200,-93,80,dc028ef63a98
20365,-63,f0,3817c3e8ae00
21208,-90,80,e069951711dc
22196,-91,80,80c6abc53698
22694,-89,40,daa11999dfca
23143,-91,80,94877c63d8f0
23215,-88,80,74a78ee40c1c
24133,-80,80,24f27f837e00
24133,-80,80,24f27f837e01
24133,-80,80,24f27f837e02
24134,-79,80,24f27f837e03
24134,-80,80,24f27f837e04
24134,-79,80,24f27f837e05
24136,-80,80,24f27f837e06
24173,-87,80,6014b3e7da40
24176,-85,08,6014b3e7da40
24204,-93,80,30b5c2972af8
24213,-85,80,58238cc739dd
24226,-82,80,48c79672f4bd
24235,-80,80,24f27f837e00
24236,-80,80,24f27f837e01
24236,-79,80,24f27f837e02
24236,-80,80,24f27f837e03
24236,-80,80,24f27f837e04
24236,-80,80,24f27f837e05
24238,-80,80,24f27f837e06
24277,-83,80,6014b3e7da40
24310,-86,80,3817c3e73b60
24311,-85,80,3817c3e73b61
24311,-86,80,3817c3e73b63
24311,-87,80,3817c3e73b65
24311,-86,80,3817c3e73b66
24315,-80,80,58238cc739dd
24325,-84,80,48c79672f4bd
24338,-80,80,24f27f837e00
24338,-79,80,24f27f837e01
24338,-79,80,24f27f837e02
24350,-88,80,603d26bd585a
24379,-86,80,6014b3e7da40
24413,-87,80,3817c3e73b60
24413,-86,80,3817c3e73b61
24413,-86,80,3817c3e73b65
24414,-85,80,3817c3e73b66
24418,-79,80,58238cc739dd
24427,-82,80,48c79672f4bd
24430,-91,80,9897d16fed60
24431,-89,08,9897d16fed60
24434,-94,48,08c5e13807bb
24452,-90,80,603d26bd585a
24480,-87,80,6014b3e7da40
24515,-84,80,3817c3e73b61
24516,-85,80,3817c3e73b62
24516,-86,80,3817c3e73b63
24516,-86,80,3817c3e73b65
24516,-86,80,3817c3e73b66
24520,-80,80,58238cc739dd
24530,-84,80,48c79672f4bd
24533,-91,80,9897d16fed60
24543,-80,80,24f27f837e04
24544,-79,80,24f27f837e05
24544,-79,80,24f27f837e06
24555,-88,80,603d26bd585a
24582,-86,80,6014b3e7da40
24614,-93,80,30b5c2972af8
24618,-86,80,3817c3e73b60
24618,-85,80,3817c3e73b61
24618,-86,80,3817c3e73b62
24618,-86,80,3817c3e73b63
24618,-87,80,3817c3e73b65
24620,-86,80,3817c3e73b66
24622,-80,80,58238cc739dd
24632,-86,80,48c79672f4bd
24635,-93,80,9897d16fed60
24645,-80,80,24f27f837e00
24645,-80,80,24f27f837e01
24645,-80,80,24f27f837e02
24646,-80,80,24f27f837e03
24646,-79,80,24f27f837e04
24646,-80,80,24f27f837e05
24648,-80,80,24f27f837e06
24685,-87,80,6014b3e7da40
24720,-86,80,3817c3e73b60
24720,-86,80,3817c3e73b61
24720,-85,80,3817c3e73b62
24721,-86,80,3817c3e73b63
24721,-85,80,3817c3e73b66
24735,-84,80,48c79672f4bd
24747,-80,80,24f27f837e00
24748,-80,80,24f27f837e01
24748,-80,80,24f27f837e02
24748,-80,80,24f27f837e03
24748,-80,80,24f27f837e04
24748,-79,80,24f27f837e05
24750,-80,80,24f27f837e06
24789,-87,80,6014b3e7da40
24818,-92,80,30b5c2972af8
24827,-81,80,58238cc739dd
24837,-85,80,48c79672f4bd
24840,-88,80,9897d16fed60
24850,-79,80,24f27f837e01
24850,-80,80,24f27f837e02
24850,-80,80,24f27f837e03
24851,-79,80,24f27f837e04
24851,-79,80,24f27f837e05
24851,-80,80,24f27f837e06
24891,-84,80,6014b3e7da40
24921,-91,80,30b5c2972af8
24929,-85,80,58238cc739dd
24939,-84,80,48c79672f4bd
24944,-86,c8,58d9c3dd03ff
24954,-79,80,24f27f837e00
24954,-80,80,24f27f837e01
24955,-91,80,24f27f837e02
24964,-90,80,603d26bd585a
25023,-91,80,30b5c2972af8
25027,-86,80,3817c3e73b60
25027,-86,80,3817c3e73b61
25028,-86,80,3817c3e73b62
25028,-85,80,3817c3e73b63
25028,-86,80,3817c3e73b65
25032,-79,80,58238cc739dd
25042,-82,80,48c79672f4bd
25055,-87,80,24f27f837e01
25055,-79,80,24f27f837e05
25067,-89,80,603d26bd585a
25094,-85,80,6014b3e7da40
27137,-94,80,b482fea53273
27139,-92,80,cc3540568b91
27141,-93,80,ce3540568b92
27176,-83,80,603d266eae63
27209,-65,80,3817c3e8ae00
27209,-65,80,3817c3e8ae01
27209,-65,80,3817c3e8ae02
27210,-65,80,3817c3e8ae03
27210,-65,80,3817c3e8ae04
27210,-65,80,3817c3e8ae05
27212,-65,80,3817c3e8ae06
27226,-89,80,8c04ff764db5
27231,-92,80,9897d161dd00
27239,-93,80,b482fea53273
27240,-91,80,cc3540568b91
27242,-92,80,ce3540568b92
27257,-89,80,146080cdc7e4
27279,-84,80,603d266eae63
27284,-91,80,7829edf4be5e
27294,-93,80,8e04ffe80300
27311,-65,80,3817c3e8ae00
27312,-65,80,3817c3e8ae01
27312,-65,80,3817c3e8ae02
27312,-65,80,3817c3e8ae03
27312,-65,80,3817c3e8ae04
27312,-65,80,3817c3e8ae05
27314,-65,80,3817c3e8ae06
27329,-93,80,8c04ff764db5
27333,-92,80,9897d161dd00
27341,-89,80,b482fea53273
27343,-93,80,cc3540568b91
27345,-92,80,ce3540568b92
27360,-87,80,146080cdc7e4
27381,-84,80,603d266eae63
27387,-87,80,7829edf4be5e
27414,-65,80,3817c3e8ae00
27414,-65,80,3817c3e8ae01
27414,-65,80,3817c3e8ae02
27414,-65,80,3817c3e8ae03
27415,-65,80,3817c3e8ae04
27415,-65,80,3817c3e8ae05
27417,-65,80,3817c3e8ae06
27436,-93,80,9897d161dd00
27444,-92,80,b482fea53273
27462,-88,80,146080cdc7e4
27478,-93,80,bc3e075dd938
27489,-89,80,7829edf4be5e
27499,-92,80,8e04ffe80300
27501,-87,80,bc8556c32b6e
27516,-65,80,3817c3e8ae00
27516,-65,80,3817c3e8ae01
27517,-65,80,3817c3e8ae02
27517,-65,80,3817c3e8ae03
27517,-65,80,3817c3e8ae04
27517,-65,80,3817c3e8ae05
27519,-65,80,3817c3e8ae06
27534,-93,80,8c04ff764db5
27555,-92,80,ce3540568b92
27586,-83,80,603d266eae63
27593,-86,80,7829edf4be5e
27619,-65,80,3817c3e8ae00
27619,-65,80,3817c3e8ae01
27619,-65,80,3817c3e8ae02
27619,-65,80,3817c3e8ae03
27619,-65,80,3817c3e8ae04
27620,-65,80,3817c3e8ae05
27622,-65,80,3817c3e8ae06
