tmstm,mxCnt,entryCnt,5p,10p,20p,30p,40p,50p,60p,70p,80p,90p
300713,6,34,34,34,34,34,13,8,8,7,7,3
600809,5,50,50,50,50,50,12,12,7,7,3,3
901082,4,44,44,44,44,44,44,7,7,7,3,3
1201524,6,114,114,114,114,114,5,2,2,2,2,2
1501526,9,230,230,230,230,26,12,8,8,5,4,3
1801556,9,211,211,211,211,17,5,3,3,2,1,1
2101690,9,175,175,175,175,11,4,3,3,2,1,1
2401736,9,178,178,178,178,12,6,4,2,2,2,1
2701906,7,210,210,210,210,14,14,6,4,4,3,2
3002256,7,210,210,210,210,21,21,6,3,3,3,2
3302406,9,100,100,100,100,11,3,2,2,1,1,1
3602469,8,143,143,143,143,10,4,3,3,3,2,1
3902514,8,108,108,108,108,6,4,4,4,3,3,1
4202571,6,129,129,129,129,129,12,3,3,2,2,2
4502647,5,81,81,81,81,81,7,7,2,2,2,2
