tmstm,mxCnt,entryCnt,5p,10p,20p,30p,40p,50p,60p,70p,80p,90p
120310,12,212,212,212,35,21,12,3,2,2,1,1
240318,10,142,142,142,32,18,7,3,1,1,1,1
360348,14,102,102,102,23,7,6,3,3,2,2,2
480472,7,98,98,98,98,14,14,7,5,5,3,1
600518,30,141,141,11,3,1,1,1,1,1,1,1
720559,9,146,146,146,146,21,11,5,4,4,3,1
841344,6,102,102,102,102,102,18,9,9,3,3,1
961907,11,125,125,125,17,8,3,3,1,1,1,1
1083095,5,83,83,83,83,83,16,16,4,4,1,1
1203724,4,104,104,104,104,104,104,21,21,21,8,8
1323785,10,118,118,118,21,10,7,5,2,2,1,1
1443796,5,89,89,89,89,89,18,18,5,5,2,2
1563873,4,42,42,42,42,42,42,8,8,8,3,3
1684476,3,52,52,52,52,52,52,52,52,5,5,5
1805295,6,70,70,70,70,70,15,5,5,3,3,2
1925867,10,73,73,73,10,7,5,2,1,1,1,1
2046502,7,82,82,82,82,11,11,4,2,2,2,2
2167146,4,77,77,77,77,77,77,9,9,9,4,4
2287234,7,92,92,92,92,13,13,5,3,3,2,2
2407241,9,185,185,185,185,24,5,4,1,1,1,1
2527262,8,221,221,221,221,37,14,5,5,4,3,2
2647432,16,205,205,205,20,12,3,2,2,2,2,2
2767474,15,176,176,176,11,8,5,3,2,2,1,1
2887501,14,228,228,228,36,11,7,6,3,3,2,1
3008061,16,278,278,278,15,9,4,3,2,2,2,1
3128896,15,205,205,205,11,4,3,3,2,1,1,1
3249010,13,236,236,236,58,33,7,2,2,1,1,1
3369257,9,323,323,323,323,57,24,16,7,7,4,4
3489258,28,335,335,67,9,4,1,1,1,1,1,1
3609312,8,221,221,221,221,46,19,15,15,13,6,3
3729350,5,322,322,322,322,322,46,46,18,18,6,6
3849413,26,174,174,28,3,1,1,1,1,1,1,1
3969430,11,91,91,91,28,16,11,6,2,2,1,1
4089732,6,44,44,44,44,44,13,5,5,3,3,2

