tmstm,mxCnt,entryCnt,5p,10p,20p,30p,40p,50p,60p,70p,80p,90p
301467,8,7,7,7,7,6,5,3,3,3,2,2
602081,6,8,8,8,8,8,4,4,4,4,4,3
902173,7,6,6,6,6,4,4,3,3,3,2,1
1202221,8,7,7,7,7,5,2,2,2,2,1,1
1502399,8,6,6,6,6,2,2,2,2,1,1,1
1802472,5,2,2,2,2,2,2,2,2,2,2,2
2102524,7,8,8,8,8,5,5,3,2,2,1,1
2402799,5,7,7,7,7,7,5,5,2,2,2,2
2702900,5,5,5,5,5,5,3,3,1,1,1,1
3002904,7,92,92,92,92,7,7,3,3,3,3,2
3303149,6,219,219,219,219,219,23,8,8,3,3,3
3603162,5,207,207,207,207,207,14,14,4,4,2,2
3903171,5,120,120,120,120,120,7,7,5,5,2,2
4203478,7,122,122,122,122,9,9,3,2,2,2,1
4503528,8,110,110,110,110,11,7,5,5,4,2,1
4803558,7,139,139,139,139,6,6,3,3,3,3,2
5103627,5,235,235,235,235,235,22,22,5,5,2,2
5403662,5,176,176,176,176,176,17,17,2,2,1,1
5703689,5,137,137,137,137,137,19,19,6,6,3,3
6004179,6,212,212,212,212,212,11,4,4,2,2,2
6304831,6,147,147,147,147,147,18,8,8,4,4,3
6605445,5,42,42,42,42,42,8,8,5,5,2,2
6906351,5,26,26,26,26,26,7,7,3,3,3,3
7206675,5,24,24,24,24,24,7,7,5,5,5,5
7506683,5,24,24,24,24,24,6,6,4,4,3,3
7806837,4,25,25,25,25,25,25,11,11,11,5,5
8107582,6,27,27,27,27,27,11,6,6,5,5,4
8407650,6,35,35,35,35,35,9,6,6,5,5,3
8707690,5,31,31,31,31,31,10,10,5,5,4,4
9007777,6,39,39,39,39,39,13,9,9,6,6,3
9307786,5,38,38,38,38,38,12,12,9,9,5,5
