tmstm,mxCnt,entryCnt,5p,10p,20p,30p,40p,50p,60p,70p,80p,90p
301165,5,26,26,26,26,26,3,3,3,3,1,1
601166,5,269,269,269,269,269,27,27,7,7,5,5
901278,8,405,405,405,405,64,26,15,15,7,5,4
1202051,6,404,404,404,404,404,98,31,31,18,18,12
1502390,8,215,215,215,215,40,25,17,17,12,5,2
1802390,8,215,215,215,215,35,20,17,17,11,5,2
2102393,8,232,232,232,232,42,25,17,17,11,7,5
2402439,7,268,268,268,268,29,29,18,10,10,7,3
2702453,8,256,256,256,256,26,13,12,12,8,5,2
3002521,9,188,188,188,188,18,13,9,5,3,2,1
3302759,8,194,194,194,194,18,12,8,8,4,3,2
