tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ
7113,-536,-459,7874,-484.457,763.543,7926.600,441.768,831.290,559.950,-31.429,-24.429,19.717,-4.045,33.517,-4.246
7213,-601,-967,8768,-492.014,748.457,7939.529,439.165,852.701,568.712,-75.571,-150.857,129.287,-26.034,214.103,87.615
7313,-960,-628,7469,-502.914,735.757,7931.186,441.171,866.377,571.264,-109.000,-127.000,-83.433,20.067,136.761,25.521
7413,-462,-541,7737,-509.443,726.900,7932.714,437.117,876.160,570.599,-65.286,-88.571,15.288,-40.538,97.830,-6.652
7513,-412,-273,8555,-511.843,705.186,7940.043,436.114,881.818,575.231,-24.000,-217.143,73.286,-10.039,56.582,46.321
7613,-782,-240,6909,-523.486,660.014,7928.357,432.275,847.420,587.615,-116.429,-451.714,-116.860,-38.390,-343.976,123.847
7713,-163,183,7680,-521.286,624.029,7934.929,433.709,812.717,582.204,22.000,-359.857,65.718,14.348,-347.029,-54.112
7813,-1731,774,8567,-537.743,617.443,7938.186,456.827,809.602,585.086,-164.572,-65.857,32.568,231.180,-31.158,28.821
7913,-14,-41,6301,-534.043,609.971,7916.300,459.994,813.222,616.425,37.000,-74.714,-218.857,31.672,36.206,313.389
8013,201,-421,6168,-516.500,591.086,7891.271,464.256,821.552,650.399,175.428,-188.857,-250.283,42.618,83.300,339.736
8113,-1725,157,7817,-529.014,573.243,7883.943,484.419,817.211,648.301,-125.143,-178.428,-73.286,201.629,-43.408,-20.981
8213,-89,37,9107,-520.586,548.029,7901.757,486.863,806.063,664.333,84.286,-252.143,178.145,24.437,-111.484,160.319
8313,-544,-482,8330,-512.800,520.729,7902.571,482.045,808.122,664.822,77.857,-273.000,8.140,-48.183,20.591,4.893
8413,850,-932,9392,-491.100,490.129,7928.414,508.015,821.880,686.697,217.000,-306.000,258.428,259.705,137.580,218.750
8513,-899,76,6910,-485.100,476.329,7924.929,500.628,820.607,691.223,60.000,-138.000,-34.854,-73.870,-12.734,45.266
8613,-900,99,8240,-485.757,462.986,7940.971,501.142,819.039,685.292,-6.571,-133.429,160.425,5.138,-15.680,-59.311
8713,-458,244,7521,-496.457,456.171,7926.029,492.362,818.848,682.879,-107.000,-68.143,-149.424,-87.799,-1.906,-24.137
8813,10,-557,8319,-480.186,441.243,7935.643,490.004,827.611,683.606,162.715,-149.286,96.143,-23.578,87.625,7.271
8913,-2278,32,6133,-508.986,436.457,7913.471,533.636,828.994,715.786,-288.000,-47.857,-221.719,436.324,13.829,321.801
9013,-346,17,7853,-508.629,429.143,7916.800,533.737,830.402,714.955,3.571,-73.143,33.286,1.006,14.087,-8.312
9113,-49,-718,11084,-503.614,414.657,7955.800,536.376,841.370,806.357,50.143,-144.857,390.000,26.392,109.680,914.019
9213,-1198,-294,9118,-509.500,405.943,7974.114,541.677,845.496,817.904,-58.857,-87.143,183.145,53.005,41.255,115.470
9313,-805,-577,8468,-507.500,391.014,7975.186,540.322,853.457,818.500,20.000,-149.286,10.713,-13.549,79.607,5.970
9413,-167,-782,7973,-499.629,376.414,7976.957,541.211,864.584,818.360,78.714,-146.000,17.715,8.890,111.276,-1.409
9513,-162,-698,7575,-496.200,355.414,7991.614,542.577,872.537,801.671,34.286,-210.000,146.572,13.661,79.524,-166.887
9613,-124,-775,8699,-494.314,341.486,8016.043,543.637,882.630,796.786,18.857,-139.286,244.287,10.599,100.934,-48.852
9713,-594,-688,7783,-481.700,325.800,8012.329,530.781,890.990,797.257,126.143,-156.857,-37.144,-128.558,83.601,4.716
9813,-697,-445,7647,-477.514,313.286,8013.057,527.904,895.565,796.900,41.857,-125.143,7.285,-28.774,45.746,-3.576
9913,-293,-733,7753,-482.657,303.071,8003.586,524.315,903.329,795.994,-51.429,-102.143,-94.712,-35.884,77.639,-9.059
10013,188,-768,7090,-472.186,284.614,7985.128,530.252,911.786,801.962,104.714,-184.572,-184.575,59.364,84.573,59.683
10113,-1052,-519,7946,-478.900,274.014,7989.529,534.558,916.740,800.890,-67.143,-106.000,44.004,43.062,49.541,-10.724
10213,-231,-1262,8655,-476.043,213.129,8003.457,535.340,874.216,803.858,28.571,-608.857,139.282,7.823,-425.245,29.685
