tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole
7113,-2447,-1549,7919,2293.300,-785.400,7383.729,1757.781,914.144,1212.296,-630.000,-220.572,26.714,945.380,0.632,9.769,0,0,0,1,0
7213,-2534,-1489,7987,2225.143,-803.514,7389.829,1848.783,915.344,1214.240,-681.572,-181.143,61.001,910.024,11.992,19.443,0,0,0,0,0
7313,-1825,-1166,7958,2153.543,-813.500,7397.486,1906.304,915.431,1216.107,-715.999,-99.857,76.572,575.206,0.872,18.674,0,0,0,0,0
7413,-1869,-902,7859,2075.657,-819.486,7413.257,1957.011,914.619,1214.831,-778.857,-59.857,157.715,507.074,-8.114,-12.765,0,0,0,0,0
7513,-1833,-1079,7924,1994.329,-825.329,7435.014,1999.011,914.952,1210.136,-813.286,-58.428,217.568,420.000,3.329,-46.949,0,0,0,0,0
7613,-1946,-1189,7707,1912.571,-838.686,7450.243,2041.021,913.337,1206.751,-817.572,-133.572,152.285,420.095,-16.147,-33.851,0,0,0,0,0
7713,-2033,-1076,7770,1836.657,-853.257,7460.257,2087.018,908.860,1206.454,-759.143,-145.714,100.146,459.974,-44.775,-2.969,0,0,0,0,0
7813,-1506,-651,7594,1771.086,-857.071,7466.014,2118.664,907.442,1206.117,-655.714,-38.143,57.568,316.460,-14.183,-3.368,0,0,0,0,0
7913,-1673,-600,7363,1698.829,-863.814,7471.086,2148.432,903.745,1204.926,-722.571,-67.429,50.718,297.676,-36.965,-11.909,0,0,0,0,0
8013,-1582,-1026,7560,1628.443,-881.629,7483.100,2173.905,894.428,1201.555,-703.857,-178.143,120.142,254.731,-93.167,-33.710,0,0,0,0,0
8113,-1610,-489,7925,1554.929,-885.957,7495.957,2195.062,891.781,1201.400,-735.143,-43.286,128.569,211.570,-26.478,-1.553,0,0,0,0,0
8213,-1163,-894,7341,1493.786,-894.986,7501.386,2210.256,888.611,1199.828,-611.428,-90.286,54.287,151.936,-31.692,-15.720,0,0,0,0,0
8313,-1594,-1136,7704,1431.214,-909.986,7505.971,2234.651,883.677,1199.980,-625.715,-150.000,45.854,243.958,-49.340,1.522,0,0,0,0,0
8413,-508,-1572,8271,1384.171,-937.871,7516.757,2240.311,873.268,1203.410,-470.428,-278.857,107.861,56.599,-104.094,34.297,0,0,0,0,0
8513,-825,-1396,8194,1329.114,-962.371,7527.000,2246.561,861.642,1206.076,-550.571,-245.000,102.427,62.493,-116.257,26.663,0,0,0,0,0
8613,-554,-1310,8248,1279.800,-968.714,7544.814,2249.466,862.543,1207.384,-493.142,-63.429,178.145,29.058,9.009,13.081,0,0,0,0,0
8713,-307,-1189,8147,1232.914,-965.400,7571.900,2247.848,861.244,1199.296,-468.857,33.143,270.854,-16.187,-12.996,-80.886,0,0,0,0,0
8813,101,-1399,8107,1196.457,-961.429,7584.900,2245.213,858.590,1200.093,-364.572,39.714,130.000,-26.343,-26.536,7.976,0,0,0,0,0
8913,-212,-826,8412,1137.600,-945.829,7635.500,2227.290,850.955,1158.508,-588.572,156.000,506.001,-179.231,-76.354,-415.852,0,0,0,0,0
9013,329,-1072,8125,1094.843,-941.814,7655.071,2213.633,849.686,1155.034,-427.571,40.143,195.713,-136.577,-12.685,-34.735,0,0,0,0,0
9113,-354,-395,8018,1051.114,-954.814,7638.071,2211.587,834.117,1140.722,-437.286,-130.000,-170.000,-20.457,-155.695,-143.127,0,0,0,0,0
9213,586,-382,7733,1016.700,-954.686,7647.514,2199.782,834.204,1138.731,-344.142,1.285,94.429,-118.052,0.875,-19.907,0,0,0,0,0
9313,516,-817,7829,985.086,-944.243,7657.757,2190.830,831.282,1137.091,-316.143,104.429,102.432,-89.517,-29.222,-16.396,0,0,0,0,0
9413,544,-845,7497,946.886,-937.900,7664.372,2174.817,830.320,1134.788,-382.000,63.428,66.143,-160.129,-9.614,-23.031,0,0,0,0,0
9513,293,-829,7539,905.857,-929.471,7666.400,2159.622,828.386,1134.435,-410.286,84.286,20.283,-151.948,-19.343,-3.530,0,0,0,0,0
9613,160,-530,7497,857.857,-887.614,7683.743,2138.220,771.539,1122.369,-480.000,418.572,173.428,-214.019,-568.476,-120.662,0,0,0,0,0
9713,-66,-514,8147,812.029,-859.343,7751.543,2123.098,748.097,998.075,-458.286,282.714,678.003,-151.223,-234.420,-1242.936,0,0,0,0,0
9813,75,-1010,7829,760.543,-878.229,7779.986,2096.482,734.858,971.145,-514.857,-188.857,284.429,-266.162,-132.390,-269.307,0,0,0,0,0
9913,1316,202,7960,716.986,-818.271,7727.214,2052.350,643.673,852.291,-435.571,599.572,-527.715,-441.318,-911.842,-1188.535,0,0,0,0,0
10013,1121,-472,8026,689.943,-802.100,7756.686,2034.298,637.924,826.041,-270.428,161.714,294.712,-180.520,-57.491,-262.505,0,0,0,0,0
10113,1055,-976,8536,649.857,-798.600,7770.643,1998.753,636.286,830.823,-400.858,35.000,139.575,-355.448,-16.380,47.821,0,0,0,0,0
10213,781,-2131,8698,604.857,-811.100,7799.429,1959.448,653.511,827.541,-450.000,-125.000,287.856,-393.054,172.246,-32.818,0,0,0,0,0
10313,-130,147,10497,543.457,-792.129,7860.500,1913.638,661.722,865.739,-614.000,189.714,610.713,-458.102,82.108,381.976,0,0,0,0,0
10413,1500,463,8832,504.014,-766.257,7889.486,1864.429,674.757,863.811,-394.429,258.715,289.858,-492.091,130.353,-19.273,0,0,0,0,0
10513,-714,515,9552,441.114,-748.914,7932.171,1829.868,691.653,871.054,-629.000,173.428,426.855,-345.610,168.957,72.423,0,0,0,0,0
10613,-416,952,8796,376.571,-719.400,7957.243,1778.563,718.984,870.299,-645.428,295.143,250.713,-513.047,273.315,-7.547,0,0,0,0,0
10713,19,1257,8151,319.214,-687.071,7974.271,1723.579,755.329,862.225,-573.571,323.286,170.288,-549.836,363.448,-80.743,0,0,0,0,0
10813,-366,695,7715,256.114,-663.500,7987.057,1665.685,772.158,851.583,-631.000,235.714,127.856,-578.945,168.291,-106.412,0,0,0,0,0
10913,-513,517,7862,198.500,-642.257,7998.971,1620.942,783.800,843.882,-576.143,212.429,119.141,-447.430,116.424,-77.018,0,0,0,0,0
11013,-217,303,7942,150.229,-627.743,8001.300,1581.811,791.723,843.496,-482.714,145.143,23.286,-391.307,79.227,-3.855,0,0,0,0,0
11113,425,-855,7492,104.329,-625.614,8019.043,1525.555,790.909,819.183,-459.000,21.286,177.432,-562.557,-8.146,-243.127,0,0,0,0,0
11213,-99,715,7613,78.871,-624.071,8014.086,1513.822,793.413,820.574,-254.571,15.428,-49.570,-117.329,25.044,13.909,0,0,0,0,0
11313,-432,1313,7615,-5.471,-581.714,8027.971,1368.488,816.222,805.338,-843.429,423.571,138.853,-1453.339,228.093,-152.361,0,0,0,0,0
11413,-820,-236,7783,-43.443,-572.529,8061.986,1353.606,816.443,741.458,-379.714,91.857,340.146,-148.827,2.208,-638.806,0,0,0,0,0
11513,-547,594,8353,-89.471,-550.786,8055.043,1314.603,826.886,736.407,-460.286,217.429,-69.429,-390.024,104.433,-50.501,0,0,0,0,0
11613,-530,676,8486,-143.571,-523.543,8060.714,1252.215,835.398,738.174,-541.000,272.429,56.714,-623.879,85.112,17.662,0,0,0,0,0
11713,-640,328,8698,-176.700,-515.643,8060.714,1234.104,840.781,738.174,-331.286,79.000,0.000,-181.113,53.832,0.000,0,0,0,0,0
11813,-744,492,8329,-191.071,-505.557,8031.171,1234.769,848.537,683.433,-143.714,100.858,-295.430,6.649,77.565,-547.403,0,0,0,0,0
11913,-541,670,8346,-228.700,-475.657,8044.329,1204.350,852.549,680.496,-376.286,299.000,131.572,-304.187,40.115,-29.373,0,0,0,0,0
12013,-763,679,8069,-258.600,-462.629,8047.414,1191.191,863.061,680.111,-299.000,130.286,30.854,-131.593,105.124,-3.850,0,0,0,0,0
12113,-547,651,8195,-293.514,-442.814,8052.529,1162.981,872.428,679.856,-349.143,198.143,51.147,-282.098,93.670,-2.554,0,0,0,0,0
12213,-385,500,8318,-328.014,-426.900,8062.443,1128.862,879.294,678.593,-345.000,159.143,99.141,-341.190,68.656,-12.625,0,0,0,0,0
12313,-1564,1026,7821,-364.471,-405.314,8066.657,1126.980,895.991,676.160,-364.572,215.857,42.144,-18.824,166.970,-24.328,0,0,0,0,0
12413,302,840,7939,-384.957,-384.143,8076.400,1101.354,907.582,669.302,-204.857,211.714,97.427,-256.257,115.914,-68.580,0,0,0,0,0
12513,-1514,749,7360,-432.571,-369.114,8064.457,1076.816,917.458,674.500,-476.143,150.286,-119.429,-245.381,98.754,51.979,0,0,0,0,0
12613,76,697,7470,-453.143,-346.314,8060.143,1052.883,923.815,677.317,-205.714,228.000,-43.140,-239.332,63.577,28.167,0,0,0,0,0
12713,-442,932,7746,-476.586,-324.243,8051.386,1033.934,935.562,677.359,-234.429,220.714,-87.573,-189.481,117.463,0.422,0,0,0,0,0
12813,-490,1108,7806,-494.743,-301.786,8052.300,1022.790,950.682,676.984,-181.571,224.572,9.141,-111.443,151.207,-3.752,0,0,0,0,0
12913,-388,988,7549,-503.929,-271.329,8046.600,1018.896,957.341,679.513,-91.857,304.571,-56.997,-38.945,66.582,25.292,0,0,0,0,0
13013,-1772,2,8251,-541.586,-259.043,8045.757,1016.351,955.249,679.222,-376.571,122.857,-8.428,-25.444,-20.916,-2.908,0,0,0,0,0
13113,-704,1199,7809,-563.786,-241.086,8036.643,1002.591,970.552,678.057,-222.000,179.571,-91.143,-137.599,153.027,-11.657,0,0,0,0,0
13213,1922,755,8370,-526.857,-215.943,8045.043,1044.968,973.230,678.492,369.286,251.429,83.999,423.767,26.780,4.354,0,0,0,0,0
13313,-406,1347,8099,-515.014,-179.157,8050.186,1041.568,982.897,677.517,118.428,367.857,51.426,-34.005,96.678,-9.756,0,0,0,0,0
13413,-327,1112,8195,-507.629,-156.557,8064.729,1041.041,994.074,669.496,73.857,226.000,145.430,-5.261,111.769,-80.209,0,0,0,0,0
13513,-1355,2100,8689,-514.143,-109.171,8080.843,1044.890,1021.086,670.751,-65.143,473.857,161.143,38.483,270.120,12.557,0,0,0,0,0
13613,-1406,2562,8508,-511.514,-52.557,8102.514,1042.408,1057.120,659.603,26.286,566.143,216.714,-24.813,360.334,-111.481,0,0,0,0,0
13713,947,-1248,7337,-543.543,-115.171,8040.157,959.350,994.408,504.450,-320.286,-626.143,-623.569,-830.580,-627.119,-1551.534,0,0,0,0,0
13813,423,-3112,8151,-517.114,-154.971,8043.386,960.130,1055.901,504.426,264.286,-398.000,32.285,7.802,614.935,-0.242,0,1,0,0,0
13913,-1632,1127,9089,-517.886,-129.114,8059.486,961.004,1064.779,519.336,-7.715,258.571,161.001,8.734,88.774,149.106,0,0,0,0,0
14013,-506,128,7460,-498.000,-114.586,8053.100,946.533,1061.244,523.900,198.857,145.286,-63.857,-144.711,-35.350,45.638,0,0,0,0,0
14113,2821,2178,6677,-422.743,-61.343,8035.357,996.676,1081.247,548.591,752.571,532.429,-177.432,501.434,200.033,246.906,0,0,1,0,0
14213,5,120,7752,-386.471,-38.357,8032.000,964.875,1067.670,549.594,362.714,229.857,-33.569,-318.010,-135.770,10.038,0,0,0,0,0
14313,-234,956,7537,-363.743,-8.043,8025.986,949.335,1065.345,552.666,227.286,303.143,-60.142,-155.400,-23.252,30.718,0,0,0,0,0
14413,-174,770,7633,-339.529,15.843,8022.757,932.093,1063.776,554.290,242.143,238.857,-32.285,-172.425,-15.684,16.238,0,0,0,0,0
14513,-247,458,7647,-316.871,37.800,8018.800,914.627,1056.791,555.967,226.571,219.571,-39.575,-174.659,-69.854,16.771,0,0,0,0,0
14613,530,-535,7327,-281.500,47.143,8013.372,898.677,1048.764,560.819,353.714,93.429,-54.282,-159.492,-80.269,48.520,0,0,0,0,0
14713,411,3,7080,-246.586,62.557,8003.514,877.170,1040.036,570.982,349.143,154.143,-98.574,-215.071,-87.278,101.627,0,0,0,0,0
14813,-912,1333,8538,-238.100,90.900,8017.000,867.769,1047.214,572.297,84.857,283.429,134.858,-94.019,71.772,13.150,0,0,0,0,0
14913,-2041,1414,8389,-243.357,119.671,8031.657,877.506,1055.470,568.485,-52.571,287.714,146.572,97.372,82.568,-38.116,0,0,0,0,0
15013,-1942,1393,7697,-248.500,154.229,8033.614,886.347,1056.994,567.092,-51.429,345.572,19.570,88.408,15.231,-13.930,0,0,0,0,0
15113,-936,1550,7467,-238.871,183.357,8027.071,875.093,1066.915,570.937,96.286,291.286,-65.430,-112.531,99.214,38.445,0,0,0,0,0
15213,-158,930,7799,-224.514,209.414,8033.614,868.030,1062.549,565.637,143.571,260.571,65.430,-70.637,-43.658,-53.001,0,0,0,0,0
15313,-822,10,8435,-213.486,225.786,8044.057,855.372,1050.453,566.203,110.286,163.714,104.429,-126.578,-120.959,5.659,0,0,0,0,0
15413,-760,-88,8555,-217.086,246.986,8048.114,857.132,1028.706,568.826,-36.000,212.000,40.571,17.604,-217.467,26.230,0,0,0,0,0
15513,-664,310,7959,-214.786,271.357,8044.757,855.713,1009.523,568.648,23.000,243.714,-33.569,-14.196,-191.834,-1.774,0,0,0,0,0
15613,-1223,-924,8281,-224.343,276.871,8045.229,863.152,1001.896,568.830,-95.571,55.143,4.712,74.389,-76.274,1.819,0,0,0,0,0
15713,-445,547,8102,-226.314,301.671,8044.586,863.496,986.674,568.740,-19.714,248.000,-6.426,3.440,-152.219,-0.900,0,0,0,0,0
15813,-184,-54,8101,-230.386,320.886,8044.500,862.614,966.253,568.731,-40.714,192.143,-0.859,-8.813,-204.207,-0.091,0,0,0,0,0
15913,-3,610,7835,-227.400,341.400,8036.257,863.034,956.884,567.525,29.857,205.143,-82.427,4.200,-93.688,-12.059,0,0,0,0,0
16013,518,817,7286,-224.700,368.386,8024.271,865.064,943.182,574.343,27.000,269.857,-119.858,20.298,-137.022,68.178,0,0,0,0,0
16113,-248,712,7750,-223.186,384.200,8020.443,864.929,939.523,575.265,15.143,158.143,-38.286,-1.350,-36.590,9.216,0,0,0,0,0
16213,-1229,759,7582,-249.114,400.500,8018.286,867.484,935.980,576.620,-259.286,163.000,-21.572,25.550,-35.432,13.553,0,0,0,0,0
16313,-762,449,7950,-267.371,418.586,8020.014,864.633,924.440,576.231,-182.571,180.857,17.285,-28.511,-115.401,-3.889,0,0,0,0,0
16413,-944,458,7881,-288.629,437.200,8025.500,862.713,911.842,573.045,-212.571,186.143,54.858,-19.199,-125.981,-31.863,0,0,0,0,0
16513,-256,453,7874,-296.471,455.514,8030.286,859.881,899.010,570.355,-78.429,183.143,47.856,-28.323,-128.313,-26.902,0,0,0,0,0
16613,-383,821,7945,-304.229,474.814,8036.686,858.176,892.121,566.837,-77.571,193.000,63.999,-17.053,-68.889,-35.173,0,0,0,0,0
16713,-444,826,8365,-309.629,493.957,8039.800,857.849,885.047,568.033,-54.000,191.429,31.143,-3.268,-70.745,11.953,0,0,0,0,0
16813,-583,403,8345,-319.029,514.143,8047.171,857.187,866.433,568.597,-94.000,201.857,73.716,-6.615,-186.138,5.643,0,0,0,0,0
16913,-3469,801,8043,-387.386,522.700,8048.357,913.047,866.266,568.500,-683.571,85.571,11.855,558.596,-1.671,-0.964,0,0,0,0,0
17013,-945,490,8143,-416.900,536.443,8050.029,897.063,857.968,568.604,-295.143,137.429,16.719,-159.837,-82.984,1.039,0,0,0,0,0
17113,-698,412,8156,-441.943,556.271,8044.600,879.928,838.605,565.745,-250.429,198.286,-54.287,-171.347,-193.627,-28.589,0,0,0,0,0
17213,-740,390,7861,-463.671,592.286,8032.643,868.162,774.075,560.631,-217.285,360.143,-119.570,-117.663,-645.294,-51.140,0,0,0,0,0
17313,-664,580,7850,-471.300,598.471,7994.829,867.542,772.220,476.021,-76.286,61.857,-378.145,-6.197,-18.552,-846.102,0,0,0,0,0
17413,-459,552,7535,-499.286,599.743,7976.300,834.467,772.069,468.253,-279.857,12.714,-185.288,-330.759,-1.508,-77.678,0,0,0,0,0
