tstm,aX,aY,aZ,meanX,meanY,meanZ,stdX,stdY,stdZ,meanDiffX,meanDiffY,meanDiffZ,stdDiffX,stdDiffY,stdDiffZ,HardAccel,HardBrake,LaneChanL,LaneChanR,ui8LaneHole,Q
14114,-519,-138,7688,-562.871,-206.571,7936.029,143.012,169.751,325.482,-2.000,-5.000,-5.996,-0.710,-2.526,4.194,0,0,0,0,0,5.000
14214,-474,-379,8099,-563.214,-207.943,7936.500,142.770,170.747,325.693,-3.429,-13.714,4.712,-2.424,9.968,2.114,0,0,0,0,0,5.000
14314,-401,-180,7496,-561.900,-208.029,7935.271,143.830,170.732,327.187,13.143,-0.857,-12.285,10.598,-0.156,14.940,0,0,0,0,0,5.000
14414,-601,-355,8081,-560.457,-210.171,7938.386,142.921,171.619,327.522,14.429,-21.429,31.143,-9.089,8.876,3.346,0,0,0,0,0,5.000
14514,-314,-115,7891,-558.014,-209.186,7940.486,145.626,171.965,326.739,24.429,9.857,21.001,27.047,3.453,-7.828,0,0,0,0,0,5.000
14614,-728,-325,8156,-557.600,-209.957,7945.872,145.099,172.361,327.140,4.143,-7.714,53.857,-5.264,3.963,4.007,0,0,0,0,0,5.000
14714,-447,-170,8012,-557.443,-211.200,7948.671,145.213,171.754,326.855,1.571,-12.429,27.998,1.137,-6.073,-2.849,0,0,0,0,0,5.000
14814,-424,-222,8350,-554.543,-211.400,7951.186,145.820,171.758,329.247,29.000,-2.000,25.142,6.077,0.043,23.918,0,0,0,0,0,5.000
14914,-663,-254,8173,-554.800,-211.771,7952.128,145.996,171.822,329.786,-2.571,-3.714,9.429,1.751,0.636,5.389,0,0,0,0,0,5.000
15014,-336,-168,8259,-552.871,-211.614,7955.128,147.968,171.856,331.604,19.286,1.571,30.000,19.726,0.349,18.177,0,0,0,0,0,5.000
15114,-600,-327,7926,-550.829,-212.786,7951.186,146.307,172.359,330.283,20.428,-11.714,-39.429,-16.612,5.023,-13.206,0,0,0,0,0,5.000
15214,-477,-87,8118,-550.743,-211.043,7954.329,146.348,173.004,330.808,0.857,17.429,31.431,0.415,6.451,5.252,0,0,0,0,0,5.000
15314,-488,-352,7900,-553.657,-211.843,7955.586,143.000,173.524,330.432,-29.143,-8.000,12.573,-33.479,5.197,-3.762,0,0,0,0,0,5.000
15414,-528,-139,7608,-553.200,-212.200,7956.500,143.031,173.347,329.378,4.572,-3.571,9.141,0.302,-1.761,-10.536,0,0,0,0,0,5.000
15514,-446,-336,7964,-552.900,-211.900,7956.714,143.233,173.115,329.379,3.000,3.000,2.144,2.024,-2.329,0.003,0,0,0,0,0,5.000
15614,-525,-194,7955,-551.414,-214.800,7964.929,142.975,171.078,321.980,14.857,-29.000,82.144,-2.579,-20.364,-73.982,0,0,0,0,0,5.000
15714,-530,-363,7780,-550.443,-217.271,7965.372,142.886,171.949,321.704,9.714,-24.714,4.429,-0.889,8.712,-2.761,0,0,0,0,0,5.000
15814,-391,-157,8342,-549.443,-217.529,7972.500,143.751,171.846,324.430,10.000,-2.571,71.284,8.648,-1.038,27.261,0,0,0,0,0,5.000
15914,-643,-314,8076,-547.829,-218.257,7974.114,142.047,172.145,324.661,16.143,-7.286,16.143,-17.043,2.991,2.302,0,0,0,0,0,5.000
16014,-465,-174,8146,-541.686,-234.757,8007.114,136.073,94.040,198.570,61.428,-165.000,330.000,-59.743,-781.045,-1260.908,0,0,0,0,0,5.000
16114,-532,-241,8393,-541.700,-233.029,8008.071,136.071,92.789,200.259,-0.143,17.286,9.570,-0.011,-12.510,16.891,0,0,0,0,0,5.000
16214,-588,-267,8086,-541.200,-232.971,8007.943,135.836,92.767,200.206,5.000,0.571,-1.284,-2.356,-0.222,-0.530,0,0,0,0,0,5.000
16314,-401,-164,8256,-540.229,-231.300,8008.872,136.590,92.940,201.201,9.714,16.714,9.287,7.539,1.734,9.952,0,0,0,0,0,5.000
16414,-492,-230,7823,-536.586,-231.071,8005.486,134.410,92.924,202.303,36.429,2.286,-33.857,-21.801,-0.168,11.022,0,0,0,0,0,5.000
16514,-427,-79,8058,-533.071,-232.429,8007.200,134.012,89.951,202.233,35.143,-13.571,17.144,-3.973,-29.722,-0.707,0,0,0,0,0,5.000
16614,-500,-317,7857,-534.957,-235.171,8009.128,132.598,89.560,200.136,-18.857,-27.429,19.282,-14.148,-3.912,-20.961,0,0,0,0,0,5.000
16714,-486,-83,7683,-537.271,-234.829,8010.671,130.289,90.095,197.178,-23.143,3.429,15.430,-23.085,5.344,-29.582,0,0,0,0,0,5.000
16814,-416,-345,7962,-537.657,-233.900,8009.029,129.889,88.607,197.098,-3.857,9.286,-16.426,-4.002,-14.875,-0.804,0,0,0,0,0,5.000
16914,-544,-157,8189,-537.943,-234.429,8016.600,129.881,88.035,193.656,-2.857,-5.286,75.713,-0.083,-5.725,-34.418,0,0,0,0,0,5.000
17014,-517,-293,7982,-536.500,-233.057,8018.943,129.544,86.348,192.226,14.429,13.714,23.428,-3.368,-16.870,-14.301,0,0,0,0,0,5.000
17114,-402,-200,8063,-535.571,-233.057,8018.486,130.270,86.348,192.082,9.286,0.000,-4.570,7.258,-0.000,-1.434,0,0,0,0,0,5.000
17214,-620,-283,8084,-533.986,-234.614,8019.114,128.545,86.251,192.224,15.857,-15.571,6.284,-17.243,-0.963,1.413,0,0,0,0,0,5.000
17314,-453,-133,8024,-529.914,-233.957,8018.171,126.516,86.846,192.035,40.714,6.572,-9.429,-20.288,5.944,-1.882,0,0,0,0,0,5.000
17414,-455,-305,8112,-528.914,-235.571,8017.357,126.828,87.101,191.514,10.000,-16.143,-8.145,3.112,2.549,-5.212,0,0,0,0,0,5.000
17514,-542,-162,7929,-526.771,-232.800,8016.657,125.312,86.308,191.746,21.429,27.714,-6.997,-15.155,-7.932,2.320,0,0,0,0,0,5.000
17614,-505,-298,8336,-527.243,-234.129,8019.986,125.167,86.585,195.207,-4.714,-13.286,33.286,-1.449,2.772,34.611,0,0,0,0,0,5.000
17714,-576,-178,8197,-526.271,-233.700,8023.329,124.519,86.787,196.204,9.714,4.286,33.428,-6.477,2.023,9.966,0,0,0,0,0,5.000
17814,-559,-252,8016,-527.257,-235.357,8022.671,124.501,86.010,196.150,-9.857,-16.572,-6.572,-0.179,-7.773,-0.536,0,0,0,0,0,5.000
17914,-424,-235,8003,-527.771,-233.500,8026.700,123.999,84.582,192.780,-5.143,18.571,40.288,-5.030,-14.277,-33.702,0,0,0,0,0,5.000
18014,-494,-171,7808,-527.786,-233.257,8030.157,123.995,84.737,186.557,-0.143,2.429,34.570,-0.040,1.546,-62.233,0,0,0,0,0,5.000
18114,-566,-243,7969,-529.629,-231.986,8029.243,123.590,83.909,186.697,-18.429,12.714,-9.146,-4.050,-8.275,1.406,0,0,0,0,0,5.000
18214,-505,-148,7992,-529.071,-231.586,8032.514,123.611,84.241,183.990,5.572,4.000,32.715,0.219,3.320,-27.072,0,0,0,0,0,5.000
18314,-609,-272,7998,-529.957,-232.000,8034.757,123.958,84.367,182.594,-8.857,-4.143,22.432,3.469,1.263,-13.966,0,0,0,0,0,5.000
18414,-418,-166,8033,-529.114,-232.429,8031.957,124.515,83.954,181.090,8.429,-4.286,-28.003,5.565,-4.136,-15.035,0,0,0,0,0,5.000
18514,-450,-238,8052,-525.143,-231.329,8032.071,122.526,83.367,181.100,39.714,11.000,1.143,-19.893,-5.867,0.101,0,0,0,0,0,5.000
18614,-557,-273,7978,-524.086,-231.300,8030.400,121.925,83.352,181.052,10.572,0.286,-16.714,-6.001,-0.146,-0.486,0,0,0,0,0,5.000
18714,-418,-119,7907,-523.300,-232.286,8030.343,122.428,81.592,181.090,7.857,-9.857,-0.571,5.029,-17.605,0.383,0,0,0,0,0,5.000
18814,-516,-254,8069,-520.600,-230.571,8030.843,120.460,79.838,181.148,27.000,17.143,5.000,-19.687,-17.537,0.578,0,0,0,0,0,5.000
18914,-508,-142,7909,-520.529,-229.271,8028.400,120.466,80.526,181.621,0.714,13.000,-24.429,0.060,6.878,4.730,0,0,0,0,0,5.000
19014,-420,-343,8298,-515.886,-228.714,8033.486,117.962,79.597,184.097,46.428,5.571,50.859,-25.039,-9.291,24.769,0,0,0,0,0,5.000
19114,-482,-201,8047,-515.943,-229.614,8034.229,117.944,78.920,184.046,-0.571,-9.000,7.427,-0.174,-6.775,-0.519,0,0,0,0,0,5.000
19214,-549,-286,8286,-513.014,-228.986,8035.114,114.491,78.290,185.103,29.286,6.286,8.857,-34.528,-6.293,10.573,0,0,0,0,0,5.000
19314,-466,-192,8199,-509.957,-228.657,8036.671,112.837,78.396,186.014,30.571,3.286,15.571,-16.545,1.062,9.114,0,0,0,0,0,5.000
19414,-630,-190,8110,-512.957,-228.014,8038.000,113.196,78.526,186.201,-30.000,6.429,13.286,3.595,1.298,1.868,0,0,0,0,0,5.000
19514,-517,-281,8025,-511.700,-229.686,8032.900,112.655,78.391,181.540,12.571,-16.714,-51.001,-5.419,-1.353,-46.612,0,0,0,0,0,5.000
19614,-435,-154,8001,-511.357,-228.357,8036.814,112.851,78.873,177.818,3.429,13.286,39.146,1.962,4.819,-37.221,0,0,0,0,0,5.000
19714,-613,-247,7988,-512.643,-227.871,8033.000,113.487,78.651,175.950,-12.857,4.857,-38.145,6.362,-2.213,-18.673,0,0,0,0,0,5.000
19814,-427,-193,8034,-502.843,-229.057,8032.514,87.972,77.483,175.900,98.000,-11.857,-4.858,-255.151,-11.690,-0.504,0,0,0,0,0,5.000
19914,-463,-230,8077,-502.700,-227.800,8032.300,88.028,76.740,175.837,1.429,12.571,-2.144,0.564,-7.430,-0.634,0,0,0,0,0,5.000
20014,-564,-216,7975,-503.471,-228.143,8036.514,88.325,76.632,170.806,-7.714,-3.428,42.144,2.967,-1.072,-50.309,0,0,0,0,0,5.000
20114,-386,-221,7933,-500.157,-226.414,8034.771,88.318,75.399,171.230,33.143,17.286,-17.427,-0.070,-12.330,4.244,0,0,0,0,0,5.000
20214,-558,-294,8000,-502.757,-228.671,8036.200,87.298,75.023,170.515,-26.000,-22.571,14.287,-10.203,-3.764,-7.147,0,0,0,0,0,5.000
20314,-465,-116,7715,-499.343,-226.729,8032.314,83.971,76.146,174.642,34.143,19.429,-38.857,-33.272,11.233,41.262,0,0,0,0,0,5.000
20414,-439,-323,8147,-498.114,-227.829,8034.243,84.215,76.968,175.151,12.286,-11.000,19.282,2.444,8.222,5.097,0,0,0,0,0,5.000
20514,-474,-186,7863,-498.471,-228.000,8028.900,84.059,76.862,174.588,-3.571,-1.714,-53.428,-1.562,-1.068,-5.631,0,0,0,0,0,5.000
20614,-524,-288,8190,-496.086,-228.443,8029.257,80.870,77.116,174.892,23.857,-4.429,3.574,-31.887,2.547,3.034,0,0,0,0,0,5.000
20714,-363,-168,8155,-495.814,-228.186,8029.014,81.284,77.287,174.705,2.714,2.571,-2.432,4.133,1.709,-1.867,0,0,0,0,0,5.000
20814,-568,-266,8197,-494.900,-227.371,8027.343,80.098,76.581,172.516,9.143,8.143,-16.714,-11.857,-7.062,-21.885,0,0,0,0,0,5.000
20914,-527,-147,8138,-496.657,-226.943,8029.557,79.431,76.945,172.927,-17.571,4.286,22.144,-6.670,3.638,4.109,0,0,0,0,0,5.000
21014,-412,-121,8007,-496.600,-223.714,8031.043,79.490,76.580,172.279,0.571,32.286,14.858,0.594,-3.647,-6.481,0,0,0,0,0,5.000
21114,-681,-200,8002,-498.914,-224.600,8035.529,82.413,75.940,167.305,-23.143,-8.857,44.858,29.230,-6.406,-49.743,0,0,0,0,0,5.000
21214,-404,-135,7995,-497.914,-221.114,8034.043,83.131,74.356,167.196,10.000,34.857,-14.858,7.178,-15.837,-1.085,0,0,0,0,0,5.000
21314,-525,-197,8139,-499.686,-221.357,8043.229,82.365,74.249,154.570,-17.714,-2.429,91.855,-7.664,-1.070,-126.259,0,0,0,0,0,5.000
21414,-570,-140,8263,-499.243,-218.286,8045.829,81.901,73.095,156.700,4.428,30.714,26.001,-4.639,-11.539,21.295,0,0,0,0,0,5.000
21514,-272,-156,7881,-498.643,-218.871,8045.686,83.396,72.426,156.845,6.000,-5.857,-1.431,14.951,-6.688,1.456,0,0,0,0,0,5.000
21614,-384,-14,8269,-493.729,-214.429,8047.300,79.793,75.263,158.545,49.143,44.429,16.143,-36.025,28.368,16.994,0,0,0,0,0,5.000
21714,-512,269,7879,-494.657,-208.157,8045.400,79.622,94.528,159.749,-9.286,62.714,-18.999,-1.712,192.654,12.040,0,0,0,0,0,5.000
21814,-640,424,8268,-497.743,-198.929,8044.229,80.998,120.651,157.800,-30.857,92.286,-11.714,13.755,261.224,-19.491,0,0,0,0,0,5.000
21914,-458,628,8215,-494.814,-186.329,8044.829,78.641,155.317,158.367,29.286,126.000,6.001,-23.563,346.659,5.673,0,0,0,0,0,5.000
22014,-383,793,8112,-495.486,-172.600,8042.729,77.475,193.988,156.476,-6.714,137.286,-21.001,-11.668,386.710,-18.905,0,0,0,0,0,5.000
22114,-288,895,8143,-491.029,-155.143,8045.829,80.258,230.799,156.283,44.572,174.572,31.001,27.838,368.117,-1.938,0,0,0,0,0,5.000
22214,-642,737,8308,-493.386,-143.371,8048.543,82.211,253.838,159.136,-23.571,117.714,27.144,19.526,230.386,28.538,0,0,0,0,0,5.000
22314,-566,1104,7909,-494.500,-122.571,8048.671,82.658,292.586,159.020,-11.143,208.000,1.284,4.468,387.487,-1.165,0,0,0,0,0,5.000
22414,-551,883,8158,-494.829,-107.971,8056.529,82.836,315.967,150.407,-3.286,146.000,78.574,1.780,233.806,-86.132,0,0,0,0,0,5.000
22514,-284,619,8402,-492.514,-94.329,8062.786,86.356,326.276,155.453,23.143,136.429,62.568,35.201,103.090,50.466,0,0,0,0,0,5.000
22614,-551,116,8163,-492.886,-89.900,8065.757,86.550,326.996,155.353,-3.714,44.286,29.717,1.946,7.202,-1.008,0,0,0,0,0,5.000
22714,-410,310,7657,-491.171,-80.286,8064.000,86.986,328.714,159.222,17.143,96.143,-17.573,4.352,17.182,38.696,0,0,0,0,0,5.000
22814,-309,123,7694,-490.000,-76.286,8054.743,88.859,329.459,161.610,11.714,40.000,-92.573,18.731,7.449,23.874,0,0,0,0,0,5.000
22914,-773,890,8383,-491.857,-59.086,8059.128,93.285,347.533,166.227,-18.571,172.000,43.857,44.265,180.735,46.171,0,0,0,0,0,5.000
23014,-708,1070,8787,-495.329,-41.314,8068.286,96.681,372.138,187.105,-34.714,177.714,91.572,33.956,246.049,208.780,0,0,0,0,0,5.000
23114,-1031,979,7544,-502.457,-23.886,8056.157,115.656,390.493,193.084,-71.286,174.286,-121.284,189.753,183.557,59.797,0,0,0,0,0,5.000
23214,-276,982,7714,-498.000,-6.043,8050.843,118.256,407.157,197.264,44.572,178.429,-53.145,26.002,166.635,41.796,0,0,0,0,0,5.000
23314,-452,593,8435,-498.729,4.771,8053.400,117.813,412.831,201.031,-7.286,108.143,25.571,-4.436,56.746,37.671,0,0,0,0,0,5.000
23414,-611,487,8470,-500.429,15.014,8062.643,118.560,415.764,205.059,-17.000,102.429,92.432,7.468,29.324,40.276,0,0,0,0,0,5.000
23514,-312,533,7418,-498.786,23.757,8053.500,120.349,420.107,218.865,16.429,87.429,-91.431,17.894,43.431,138.061,0,0,0,0,0,5.000
23614,-642,833,7830,-500.814,40.186,8053.114,121.543,428.855,219.234,-20.286,164.286,-3.857,11.942,87.480,3.694,0,0,0,0,0,5.000
23714,-375,891,7797,-499.229,54.100,8054.743,122.447,440.281,216.890,15.857,139.143,16.284,9.037,114.261,-23.445,0,0,0,0,0,5.000
23814,-358,423,8253,-498.400,65.071,8058.900,123.201,439.768,217.859,8.286,109.714,41.572,7.543,-5.133,9.692,0,0,0,0,0,5.000
23914,-7,-695,8538,-490.729,57.386,8063.886,136.160,448.202,224.666,76.714,-76.857,49.858,129.590,84.344,68.074,0,0,0,0,0,5.000
24014,-853,-341,6938,-495.529,56.700,8048.971,142.764,448.774,261.277,-48.000,-6.857,-149.146,66.038,5.719,366.105,0,0,0,0,0,5.000
24114,-687,255,7888,-499.600,63.200,8046.471,144.096,448.304,261.967,-40.714,65.000,-25.000,13.323,-4.703,6.901,0,0,0,0,0,5.000
24214,-473,-134,9116,-497.500,65.329,8061.214,143.396,447.007,291.085,21.000,21.286,147.432,-7.005,-12.970,291.182,0,0,0,0,0,5.000
24314,-762,-208,7741,-501.914,64.257,8057.171,146.677,447.570,293.529,-44.143,-10.714,-40.430,32.807,5.637,24.438,0,0,0,0,0,5.000
24414,-491,-408,7204,-502.429,62.786,8044.200,146.574,448.949,310.397,-5.143,-14.714,-129.712,-1.023,13.787,168.686,0,0,0,0,0,5.000
24514,-748,-345,8659,-505.371,60.171,8054.628,149.380,450.779,318.509,-29.429,-26.143,104.282,28.061,18.304,81.115,0,0,0,0,0,5.000
24614,-504,417,8759,-505.357,70.386,8060.671,149.380,450.648,327.671,0.143,102.143,60.430,0.001,-1.310,91.619,0,0,0,0,0,5.000
24714,-461,972,8568,-503.714,86.814,8065.971,149.227,462.110,332.793,16.429,164.286,52.998,-1.537,114.617,51.226,0,0,0,0,0,5.000
24814,-565,601,7434,-503.800,99.000,8057.657,149.260,464.257,341.104,-0.857,121.857,-83.140,0.334,21.466,83.109,0,0,0,0,0,5.000
24914,-518,-98,7865,-505.143,100.957,8055.686,148.959,463.132,341.813,-13.429,19.571,-19.717,-3.014,-11.247,7.083,0,0,0,0,0,5.000
25014,-584,317,6845,-506.429,107.929,8041.929,149.245,462.658,369.743,-12.857,69.714,-137.568,2.864,-4.736,279.301,0,0,0,0,0,5.000
25114,-140,618,8085,-500.343,120.229,8043.586,155.256,464.606,369.672,60.857,123.000,16.572,60.112,19.479,-0.706,0,0,0,0,0,5.000
25214,-463,694,8459,-499.743,132.257,8050.257,155.318,468.390,372.881,6.000,120.286,66.714,0.620,37.841,32.089,0,0,0,0,0,5.000
25314,-905,286,7342,-503.971,140.229,8040.886,162.116,466.186,382.203,-42.286,79.714,-93.716,67.976,-22.047,93.225,0,0,0,0,0,5.000
25414,-560,253,6836,-506.000,146.214,8023.786,161.916,464.903,408.075,-20.286,59.857,-171.001,-2.001,-12.822,258.719,0,0,0,0,0,5.000
25514,-246,273,7643,-503.086,153.514,8017.943,164.709,462.820,410.550,29.143,73.000,-58.428,27.935,-20.831,24.747,0,0,0,0,0,5.000
25614,9,831,8982,-495.000,169.286,8032.286,175.409,466.811,426.145,80.857,157.714,143.428,107.000,39.903,155.955,0,0,0,0,0,5.000
25714,-1111,151,7321,-504.900,173.143,8023.914,189.754,465.526,434.204,-99.000,38.571,-83.716,143.445,-12.843,80.587,0,0,0,0,0,5.000
25814,-1920,1127,8074,-524.957,192.871,8023.986,253.396,476.148,434.212,-200.572,197.286,0.718,636.426,106.216,0.078,0,0,0,1,0,5.000
25914,-133,774,7420,-519.600,205.957,8017.000,257.627,479.341,439.902,53.572,130.857,-69.858,42.306,31.934,56.901,0,0,0,0,0,5.000
26014,189,1384,6928,-510.900,230.629,7997.429,270.790,494.651,457.104,87.000,246.714,-195.713,131.632,153.098,172.024,0,0,0,0,0,5.000
26114,686,-392,6740,-494.214,227.900,7978.757,305.781,497.543,480.779,166.857,-27.286,-186.714,349.912,28.918,236.744,0,0,0,0,0,5.000
26214,-746,-70,7468,-497.029,230.986,7967.071,307.176,495.010,483.104,-28.143,30.857,-116.860,13.946,-25.334,23.256,0,0,0,0,0,5.000
26314,-892,526,8059,-503.114,241.243,7965.071,310.701,493.575,482.429,-60.857,102.571,-20.000,35.247,-14.342,-6.749,0,0,0,0,0,5.000
26414,-728,579,8109,-504.514,252.229,7965.057,311.489,492.411,482.425,-14.000,109.857,-0.142,7.884,-11.640,-0.043,0,0,0,0,0,5.000
26514,-864,544,8885,-509.471,264.014,7977.343,314.396,489.371,494.592,-49.572,117.857,122.856,29.068,-30.400,121.673,0,0,0,0,0,5.000
26614,-1203,298,9775,-520.443,270.471,8002.686,324.833,486.788,538.643,-109.714,64.572,253.428,104.369,-25.830,440.510,0,0,0,0,0,5.000
26714,-1898,422,7172,-538.800,280.029,7991.029,363.547,483.088,547.591,-183.571,95.571,-116.567,387.142,-37.001,89.472,0,0,0,0,0,5.000
26814,378,-506,6733,-527.300,275.557,7972.443,379.293,488.860,567.532,115.000,-44.714,-185.859,157.459,57.718,199.415,0,0,0,0,0,5.000
26914,949,-257,7109,-507.129,275.171,7958.614,417.771,489.269,576.538,201.714,-3.857,-138.286,384.778,4.091,90.057,0,0,0,0,0,5.000
27014,-556,1389,7078,-507.014,298.100,7945.800,417.756,503.125,585.923,1.143,229.286,-128.145,-0.145,138.563,93.854,0,0,0,0,0,5.000
27114,-2128,461,7328,-531.900,307.843,7937.157,459.596,499.570,590.493,-248.857,97.429,-86.426,418.402,-35.558,45.694,0,0,0,0,0,5.000
27214,-1192,118,9847,-540.957,313.729,7963.543,466.221,494.849,632.484,-90.571,58.857,263.857,66.244,-47.206,419.914,0,0,0,0,0,5.000
27314,-1001,-277,8184,-548.614,311.429,7970.243,469.302,497.210,632.300,-76.571,-23.000,66.997,30.810,23.605,-1.843,0,0,0,0,0,5.000
27414,-629,470,8104,-551.329,322.757,7969.628,469.209,491.628,632.149,-27.143,113.286,-6.143,-0.923,-55.815,-1.511,0,0,0,0,0,5.000
27514,-575,386,8383,-552.771,330.929,7977.057,469.125,487.843,633.905,-14.429,81.714,74.287,-0.847,-37.849,17.563,0,0,0,0,0,5.000
27614,-829,672,7567,-557.129,344.643,7968.157,470.252,483.728,635.225,-43.572,137.143,-88.999,11.276,-41.157,13.199,0,0,0,0,0,5.000
27714,-221,35,8140,-555.100,347.543,7967.943,471.390,481.248,635.164,20.286,29.000,-2.144,11.380,-24.799,-0.607,0,0,0,0,0,5.000
27814,-198,604,7273,-549.814,359.971,7954.743,473.286,476.452,639.851,52.857,124.286,-132.002,18.963,-47.953,46.866,0,0,0,0,0,5.000
27914,-785,-193,9424,-553.500,359.314,7973.114,474.098,477.182,662.896,-36.857,-6.571,183.716,8.118,7.299,230.448,0,0,0,0,0,5.000
28014,-473,-416,8458,-554.371,355.100,7979.557,473.893,482.677,665.381,-8.714,-42.143,64.429,-2.048,54.944,24.850,0,0,0,0,0,5.000
28114,181,-70,8167,-542.057,356.957,7981.914,481.580,480.784,665.748,123.143,18.571,23.569,76.868,-18.930,3.676,0,0,0,0,0,5.000
28214,115,-1530,8551,-534.643,337.029,7989.857,487.606,527.413,669.165,74.142,-199.286,79.429,60.259,466.290,34.167,0,0,0,0,0,5.000
28314,2,-1282,7815,-527.114,321.529,7985.229,491.748,557.939,669.238,75.286,-155.000,-46.284,41.416,305.267,0.729,0,0,0,0,0,5.000
28414,-146,-130,7504,-521.057,321.671,7974.386,493.789,557.822,670.796,60.571,1.429,-108.428,20.415,-1.169,15.585,0,0,0,0,0,5.000
28514,-491,-497,7788,-524.186,316.800,7973.057,492.894,563.433,671.072,-31.286,-48.714,-13.286,-8.949,56.109,2.757,0,0,0,0,0,5.000
28614,-943,-796,9425,-532.171,305.629,7989.571,495.082,577.459,692.048,-79.857,-111.714,165.142,21.876,140.262,209.757,0,0,0,0,0,5.000
28714,-412,-924,8194,-530.743,288.586,7994.071,495.282,595.609,692.338,14.286,-170.428,45.000,2.004,181.491,2.905,0,0,0,0,0,5.000
28814,-349,-733,7810,-526.586,272.057,7987.529,495.569,607.555,691.883,41.572,-165.286,-65.425,2.866,119.468,-4.556,0,0,0,0,0,5.000
28914,-918,-640,8375,-533.157,253.943,7989.814,497.661,615.523,692.894,-65.715,-181.143,22.856,20.925,79.680,10.112,0,0,0,0,0,5.000
29014,-705,-300,7853,-537.757,238.329,7986.114,497.740,615.514,692.923,-46.000,-156.143,-37.002,0.789,-0.092,0.292,0,0,0,0,0,5.000
29114,-350,-291,7900,-538.643,221.386,7982.643,497.350,613.525,692.737,-8.857,-169.429,-34.712,-3.902,-19.890,-1.860,0,0,0,0,0,5.000
29214,-58,-453,8360,-530.300,204.386,7983.386,500.435,615.486,693.113,83.429,-170.000,7.427,30.849,19.610,3.762,0,0,0,0,0,5.000
29314,-714,-430,7692,-532.414,182.471,7980.286,500.894,610.353,693.924,-21.143,-219.143,-31.001,4.588,-51.332,8.106,0,0,0,0,0,5.000
29414,-301,-210,6898,-528.843,166.857,7962.286,501.639,606.199,705.329,35.715,-156.143,-180.000,7.454,-41.543,114.048,0,0,0,0,0,5.000
29514,-469,-209,8119,-531.486,155.029,7958.243,500.829,605.338,703.606,-26.429,-118.286,-40.430,-8.101,-8.603,-17.230,0,0,0,0,0,5.000
29614,-247,-387,8442,-527.143,147.843,7962.229,501.958,608.735,705.542,43.428,-71.857,39.858,11.287,33.965,19.362,0,0,0,0,0,5.000
29714,-259,-276,8647,-524.986,139.471,7976.372,502.780,610.474,709.195,21.572,-83.714,141.431,8.226,17.393,36.528,0,0,0,0,0,5.000
29814,-432,-467,8258,-526.743,131.043,7984.429,502.237,614.702,709.145,-17.571,-84.286,80.571,-5.433,42.277,-0.500,0,0,0,0,0,5.000
29914,-538,-603,8212,-523.386,109.714,7981.986,501.365,613.899,708.061,33.571,-213.286,-24.429,-8.727,-8.028,-10.835,0,0,0,0,0,5.000
30014,-576,-647,8460,-521.500,85.186,7977.314,500.914,609.325,703.800,18.857,-245.286,-46.714,-4.500,-45.740,-42.607,0,0,0,0,0,5.000
30114,-633,-647,8256,-515.814,61.957,7987.486,497.345,605.791,702.609,56.857,-232.286,101.714,-35.692,-35.339,-11.918,0,0,0,0,0,5.000
30214,-781,-279,8336,-523.029,43.943,7996.372,497.477,596.847,703.027,-72.143,-180.143,88.857,1.317,-89.439,4.182,0,0,0,0,0,5.000
30314,-940,-220,7811,-530.000,32.329,7987.457,499.846,593.953,701.363,-69.714,-116.143,-89.146,23.694,-28.940,-16.642,0,0,0,0,0,5.000
30414,-287,-519,7795,-525.371,17.957,7977.814,500.574,594.948,699.299,46.286,-143.714,-96.426,7.282,9.946,-20.634,0,0,0,0,0,5.000
30514,-453,-392,8379,-527.386,4.743,7991.543,499.995,593.633,697.605,-20.143,-132.143,137.285,-5.794,-13.152,-16.940,0,0,0,0,0,5.000
30614,-532,-34,8576,-525.814,-7.643,8002.200,499.805,585.207,700.747,15.715,-123.857,106.572,-1.898,-84.254,31.420,0,0,0,0,0,5.000
30714,-219,-366,8083,-523.586,-25.600,8006.286,500.820,576.579,700.372,22.286,-179.571,40.854,10.142,-86.284,-3.748,0,0,0,0,0,5.000
30814,69,-720,7288,-517.486,-41.929,7992.500,505.379,579.819,704.863,61.000,-163.286,-137.856,45.594,32.402,44.910,0,0,0,0,0,5.000
30914,-860,-593,7867,-529.671,-40.471,7982.914,503.202,578.302,701.936,-121.857,14.571,-95.859,-21.766,-15.168,-29.271,0,0,0,0,0,5.000
31014,-672,-1078,8301,-527.086,-51.000,8002.386,501.998,590.263,691.508,25.858,-105.286,194.717,-12.045,119.606,-104.285,0,0,0,0,0,5.000
31114,-903,-301,8716,-530.171,-58.943,8014.214,503.633,589.833,696.514,-30.858,-79.429,118.286,16.348,-4.301,50.057,0,0,0,0,0,5.000
