tmstm,rssi,type,mac
1250,-93,80,84c9c6905f79
1947,-91,80,a09d86164c0c
2016,-92,80,5a238c3436c6
2018,-93,80,5a238c3436ca
2058,-62,80,10c25a50cbd1
2200,-91,80,e894f6e6fc32
3178,-92,80,001dcf1c399b
3213,-94,80,78719c4752b0
3221,-94,80,14cfe248a110
3508,-91,80,e067b32dc3b6
3634,-91,80,84c9c690baa9
6207,-86,80,fcb4e6c5ee2a
6235,-82,80,d0bf9c5495bb
6332,-88,80,e067b357bdde
6440,-93,80,fcb4e6867adc
8210,-83,80,bccab5d2c7d0
9212,-77,80,58238ce84753
9214,-77,80,5a238ce84754
11218,-86,80,b0c28721bc6a
11221,-68,80,9897d19bbdf8
11250,-81,80,345760ecae40
11259,-77,80,d06f820dca00
11323,-88,80,b2c28721bc6b
11362,-67,c8,dc90884a7739
11375,-69,c8,60f81dcfd4b4
11423,-85,80,b0c28721bc6a
11427,-69,80,9897d19bbdf8
11455,-80,80,345760ecae40
11464,-78,80,d06f820dca00
11527,-86,80,b2c28721bc6b
11574,-68,c8,dc90884a7739
11584,-69,c8,60f81dcfd4b4
11593,-83,48,3cfa43a7f72d
11628,-86,80,b0c28721bc6a
11632,-68,80,9897d19bbdf8
11662,-81,80,345760ecae40
11669,-77,80,d06f820dca00
11733,-85,80,b2c28721bc6b
11854,-71,48,5c0339b443d2
11935,-87,80,b0c28721bc6a
11940,-69,80,9897d19bbdf8
11967,-80,80,345760ecae40
11982,-78,80,d06f820dca00
12142,-87,80,b2c28721bc6b
13706,-87,40,58c5cbd26927
14187,-93,80,7c8779019402
14244,-63,80,10c25a50cbd1
14262,-92,80,a09d86167618
15205,-94,80,e894f6e6fc32
16217,-90,80,78719c4752b0
16229,-92,80,84c9c690baa9
16255,-92,50,84c9c690baa9
16308,-92,80,e067b32dc3b6
19215,-83,80,fcb4e6c5ee2a
19234,-89,80,e067b357bdde
19236,-80,80,d0bf9c5495bb
20056,-81,50,fcb4e6c5ee2a
20805,-82,80,bccab5d2c7d0
21421,-80,08,bccab5d2c7d0
21457,-84,88,bccab5d2c7d0
21824,-48,40,e4a471e5f2ef
22217,-76,80,58238ce84753
22219,-75,80,5a238ce84754
