tmstm,mxCnt,entryCnt,5p,10p,20p,30p,40p,50p,60p,70p,80p,90p
121351,7,58,58,58,58,10,10,7,4,4,2,2
242201,6,43,43,43,43,43,11,5,5,1,1,1
362894,6,99,99,99,99,99,24,10,10,6,6,4
482900,13,382,382,382,78,29,10,2,2,1,1,1
603186,18,417,417,417,24,4,2,1,1,1,1,1
723189,11,265,265,265,34,11,5,3,3,2,1,1
843358,24,225,225,20,5,1,1,1,1,1,1,1
963696,9,228,228,228,228,22,9,5,3,1,1,1
1084047,9,291,291,291,291,39,19,6,5,3,2,1
1204047,5,244,244,244,244,244,42,42,15,15,6,6
1324778,11,63,63,63,15,9,8,4,3,2,2,1
1444781,11,86,86,86,27,14,9,8,5,4,2,2
1565206,10,131,131,131,28,21,9,6,4,2,2,2
1685259,21,139,139,28,14,7,3,2,1,1,1,1
1805286,18,234,234,234,15,5,4,2,2,1,1,1
1925288,7,151,151,151,151,24,24,8,7,7,1,1
2045313,12,251,251,251,43,17,5,2,2,2,1,1
2165336,10,512,512,512,109,53,29,16,13,7,5,1
2285340,13,512,512,512,102,61,27,21,16,7,4,3
2405379,13,433,433,433,69,40,16,8,7,3,2,2
2525574,11,290,290,290,37,26,16,10,6,4,4,3
2645596,8,289,289,289,289,34,14,8,8,4,3,1
2765867,12,308,308,308,33,17,9,7,6,4,2,2
2886516,9,189,189,189,189,28,18,11,5,2,2,1
3006539,11,216,216,216,23,13,9,5,3,3,1,1
3126699,8,230,230,230,230,24,16,14,14,7,5,3
3247748,11,215,215,215,24,16,10,6,3,3,2,1
3367861,8,210,210,210,210,25,15,10,10,5,3,1
3487924,12,260,260,260,35,17,8,5,4,1,1,1
3608209,7,217,217,217,217,28,28,19,8,8,6,2
3728308,11,241,241,241,24,13,9,7,5,4,1,1
3849410,13,201,201,201,25,16,8,8,7,3,3,2
3969415,17,206,206,206,19,8,6,3,1,1,1,1
4089578,15,243,243,243,18,14,8,6,4,4,1,1
4209589,19,220,220,220,17,10,7,4,3,1,1,1
4329698,8,321,321,321,321,54,28,14,14,6,3,1
4449750,10,208,208,208,42,16,8,5,2,1,1,1
4569792,30,124,124,10,3,2,1,1,1,1,1,1
4689797,29,89,89,16,2,1,1,1,1,1,1,1
4809800,10,148,148,148,22,13,8,5,1,1,1,1
4929800,11,105,105,105,27,10,6,4,4,2,1,1
5050379,7,54,54,54,54,15,15,8,2,2,1,1
5170986,3,10,10,10,10,10,10,10,10,4,4,4
5291715,14,8,8,8,2,2,2,1,1,1,1,1
5412341,7,6,6,6,6,3,3,2,2,2,2,2
5532967,6,5,5,5,5,5,4,3,3,1,1,1
5653696,10,9,9,9,7,3,2,2,1,1,1,1
5773742,14,7,7,7,6,4,4,2,2,2,1,1
5894351,16,8,8,8,3,3,3,2,1,1,1,1
6015677,12,7,7,7,6,3,3,3,3,2,2,2
6136303,7,7,7,7,7,4,4,3,2,2,1,1
6257031,10,11,11,11,6,4,4,3,3,3,2,1
6377631,6,12,12,12,12,12,5,3,3,3,3,2
6498386,4,4,4,4,4,4,4,4,4,4,2,2
6619012,6,8,8,8,8,8,5,2,2,2,2,1
6739638,5,6,6,6,6,6,5,5,2,2,2,2
6860367,10,9,9,9,6,2,2,2,2,2,1,1
6980993,5,8,8,8,8,8,4,4,2,2,2,2
7101722,7,8,8,8,8,5,5,3,2,2,1,1
7222348,8,8,8,8,8,5,3,3,3,3,2,1
7342974,7,9,9,9,9,5,5,3,2,2,2,1
7463706,5,5,5,5,5,5,4,4,3,3,2,2
7584329,5,10,10,10,10,10,5,5,3,3,1,1
7705057,7,17,17,17,17,6,6,4,3,3,2,1
7825684,5,10,10,10,10,10,5,5,3,3,2,2
7946310,6,10,10,10,10,10,3,1,1,1,1,1
8067038,4,11,11,11,11,11,11,6,6,6,4,4
8187664,8,13,13,13,13,5,3,2,2,2,1,1
8308291,8,14,14,14,14,7,3,2,2,2,2,1
8429019,6,9,9,9,9,9,7,3,3,3,3,2
8549645,5,11,11,11,11,11,6,6,1,1,1,1
8670323,4,12,12,12,12,12,12,5,5,5,2,2
8791000,4,11,11,11,11,11,11,6,6,6,3,3
8911831,5,11,11,11,11,11,5,5,3,3,3,3
9032355,8,8,8,8,8,5,3,3,3,1,1,1
9152981,9,12,12,12,12,7,4,2,2,1,1,1
9273620,6,8,8,8,8,8,5,3,3,2,2,2
9394336,5,7,7,7,7,7,5,5,1,1,1,1
9514962,8,8,8,8,8,3,2,2,2,1,1,1
9635690,4,8,8,8,8,8,8,5,5,5,1,1
9756310,4,4,4,4,4,4,4,4,4,4,2,2
9877045,6,7,7,7,7,7,3,3,3,3,3,2
9997637,7,9,9,9,9,5,5,5,2,2,1,1
10118298,5,7,7,7,7,7,5,5,3,3,2,2
10239026,5,9,9,9,9,9,1,1,1,1,1,1
10359652,7,9,9,9,9,5,5,2,2,2,2,2
10480325,4,11,11,11,11,11,11,6,6,6,3,3
10601007,7,10,10,10,10,4,4,2,2,2,2,1
10721736,4,8,8,8,8,8,8,6,6,6,2,2
10842301,4,9,9,9,9,9,9,6,6,6,3,3
10962985,8,11,11,11,11,5,5,4,4,3,2,1
11083717,14,9,9,9,3,2,2,1,1,1,1,1
11204445,11,13,13,13,7,5,2,2,1,1,1,1
11324969,8,12,12,12,12,8,4,3,3,1,1,1
11445697,5,9,9,9,9,9,6,6,2,2,1,1
11566324,5,10,10,10,10,10,7,7,4,4,2,2
11686950,7,12,12,12,12,7,7,5,4,4,4,2
11807678,5,11,11,11,11,11,6,6,2,2,1,1
11928305,4,11,11,11,11,11,11,7,7,7,3,3
12049033,3,11,11,11,11,11,11,11,11,7,7,7
12169659,6,12,12,12,12,12,6,4,4,4,4,2
12290285,5,12,12,12,12,12,3,3,2,2,1,1
12411016,4,11,11,11,11,11,11,8,8,8,3,3
12531846,6,12,12,12,12,12,6,5,5,4,4,3
12652371,7,13,13,13,13,8,8,5,3,3,2,2
12773097,8,8,8,8,8,6,4,3,3,1,1,1
12893621,5,14,14,14,14,14,5,5,5,5,3,3
13014279,6,8,8,8,8,8,4,3,3,3,3,2
13134517,8,12,12,12,12,6,3,3,3,2,1,1
13255704,9,11,11,11,11,7,4,4,3,3,2,1
13376096,7,11,11,11,11,7,7,4,2,2,2,1
13496957,5,10,10,10,10,10,5,5,4,4,2,2
13617685,5,9,9,9,9,9,5,5,2,2,2,2
13738311,7,12,12,12,12,6,6,2,2,2,2,1
13859040,6,11,11,11,11,11,7,1,1,1,1,1
13979666,6,7,7,7,7,7,7,3,3,2,2,1
14100292,4,7,7,7,7,7,7,5,5,5,2,2
14221021,5,13,13,13,13,13,7,7,4,4,3,3
14341644,4,16,16,16,16,16,16,9,9,9,6,6
14462273,3,14,14,14,14,14,14,14,14,6,6,6
14583002,4,12,12,12,12,12,12,6,6,6,3,3
14703628,8,11,11,11,11,6,3,2,2,2,2,2
14824227,6,17,17,17,17,17,4,1,1,1,1,1
14945187,6,11,11,11,11,11,7,4,4,3,3,1
15065609,5,13,13,13,13,13,6,6,3,3,3,3
15186339,7,11,11,11,11,6,6,4,2,2,1,1
15306941,7,14,14,14,14,6,6,3,2,2,2,2
15427692,6,10,10,10,10,10,7,5,5,3,3,1
15548271,6,11,11,11,11,11,5,4,4,1,1,1
15668942,8,12,12,12,12,6,4,4,4,2,2,2
15789608,6,9,9,9,9,9,7,4,4,3,3,2
15910275,6,11,11,11,11,11,4,2,2,2,2,2
16030935,8,14,14,14,14,9,5,2,2,2,2,1
16151471,8,14,14,14,14,4,4,3,3,2,2,1
16272276,7,12,12,12,12,6,6,2,2,2,2,1
16392970,7,12,12,12,12,5,5,4,3,3,1,1
16513604,8,12,12,12,12,8,4,3,3,3,1,1
16634274,8,14,14,14,14,7,3,2,2,2,2,1
16754938,8,10,10,10,10,3,2,2,2,1,1,1
16875607,7,7,7,7,7,5,5,2,2,2,2,2
16996279,5,9,9,9,9,9,4,4,3,3,2,2
17116955,5,9,9,9,9,9,6,6,2,2,2,2
17237599,6,8,8,8,8,8,5,2,2,2,2,1
17358326,8,11,11,11,11,6,3,3,3,1,1,1
17478726,7,10,10,10,10,4,4,2,2,2,2,1
17599627,7,10,10,10,10,5,5,2,2,2,2,1
17720264,5,9,9,9,9,9,4,4,3,3,2,2
17840933,7,8,8,8,8,4,4,1,1,1,1,1
17961654,6,8,8,8,8,8,3,2,2,2,2,1
18082287,5,12,12,12,12,12,6,6,2,2,2,2
18202925,7,9,9,9,9,4,4,2,1,1,1,1
18323593,7,9,9,9,9,6,6,4,2,2,1,1
18444268,8,10,10,10,10,7,3,3,3,3,2,1
18564927,7,11,11,11,11,6,6,3,3,3,3,1
18685623,9,12,12,12,12,8,2,2,1,1,1,1
18805983,9,10,10,10,10,6,4,3,1,1,1,1
18926978,6,9,9,9,9,9,2,1,1,1,1,1
19047604,6,8,8,8,8,8,6,2,2,1,1,1
19168333,6,7,7,7,7,7,3,2,2,2,2,2
19288959,5,7,7,7,7,7,4,4,1,1,1,1
19409640,7,7,7,7,7,6,6,4,2,2,1,1
19530276,8,11,11,11,11,7,2,2,2,1,1,1
19650940,8,11,11,11,11,4,2,2,2,2,1,1
19771668,8,13,13,13,13,7,4,1,1,1,1,1
19892295,7,7,7,7,7,6,6,4,4,4,2,2
20012921,7,11,11,11,11,4,4,2,2,2,2,2
20133262,8,11,11,11,11,6,2,2,2,2,1,1
20254275,6,8,8,8,8,8,3,2,2,2,2,2
20375004,8,10,10,10,10,4,2,2,2,2,2,1
20495630,8,13,13,13,13,4,3,1,1,1,1,1
20616256,7,9,9,9,9,5,5,3,2,2,2,2
20736985,6,7,7,7,7,7,2,2,2,2,2,2
20857611,8,7,7,7,7,3,2,1,1,1,1,1
20978442,7,7,7,7,7,3,3,1,1,1,1,1
21098954,9,9,9,9,9,5,2,1,1,1,1,1
21219592,8,8,8,8,8,4,3,2,2,2,2,2
21340321,8,9,9,9,9,5,2,2,2,2,2,1
21460504,9,7,7,7,7,3,2,1,1,1,1,1
21581678,7,6,6,6,6,5,5,2,2,2,2,1
21702303,7,7,7,7,7,4,4,1,1,1,1,1
21822928,9,7,7,7,7,5,2,1,1,1,1,1
21943438,7,6,6,6,6,3,3,1,1,1,1,1
22064284,7,9,9,9,9,3,3,1,1,1,1,1
22185013,8,4,4,4,4,2,1,1,1,1,1,1
22305638,8,8,8,8,8,5,1,1,1,1,1,1
22426266,8,8,8,8,8,3,2,1,1,1,1,1
22546993,8,7,7,7,7,4,2,1,1,1,1,1
22667619,7,5,5,5,5,4,4,2,2,2,1,1
22787744,7,7,7,7,7,3,3,1,1,1,1,1
22908973,7,4,4,4,4,3,3,1,1,1,1,1
23029599,9,6,6,6,6,2,1,1,1,1,1,1
23150430,8,7,7,7,7,2,1,1,1,1,1,1
23270954,8,8,8,8,8,3,1,1,1,1,1,1
23391580,7,5,5,5,5,2,2,1,1,1,1,1
23512309,9,5,5,5,5,2,1,1,1,1,1,1
23633038,6,8,8,8,8,8,4,2,2,2,2,1
23753766,9,8,8,8,8,5,1,1,1,1,1,1
23874290,5,7,7,7,7,7,6,6,1,1,1,1
23995019,7,8,8,8,8,4,4,1,1,1,1,1
24115645,8,8,8,8,8,6,3,1,1,1,1,1
24236242,7,9,9,9,9,7,7,4,2,2,2,2
24356999,8,7,7,7,7,5,1,1,1,1,1,1
24477625,9,8,8,8,8,5,3,2,1,1,1,1
24598241,8,9,9,9,9,6,3,2,2,1,1,1
24718721,6,7,7,7,7,7,6,2,2,2,2,2
24839606,7,6,6,6,6,3,3,1,1,1,1,1
24960337,5,8,8,8,8,8,5,5,2,2,2,2
25080961,9,7,7,7,7,4,2,2,2,1,1,1
25201587,7,6,6,6,6,3,3,2,1,1,1,1
25322418,8,10,10,10,10,6,3,2,2,2,1,1
25442942,9,7,7,7,7,5,5,1,1,1,1,1
25563571,6,8,8,8,8,8,4,1,1,1,1,1
25684298,6,8,8,8,8,8,4,1,1,1,1,1
25804923,11,9,9,9,4,4,2,2,2,1,1,1
25925652,5,6,6,6,6,6,3,3,1,1,1,1
26046278,5,7,7,7,7,7,2,2,1,1,1,1
26166906,8,10,10,10,10,4,2,1,1,1,1,1
26287632,5,8,8,8,8,8,4,4,1,1,1,1
26408239,5,6,6,6,6,6,4,4,1,1,1,1
26528987,7,8,8,8,8,4,4,1,1,1,1,1
26649613,6,7,7,7,7,7,5,1,1,1,1,1
26770192,6,9,9,9,9,9,5,2,2,1,1,1
26890968,10,5,5,5,3,2,2,2,1,1,1,1
27011596,7,5,5,5,5,3,3,2,1,1,1,1
27132325,6,8,8,8,8,8,2,1,1,1,1,1
27253053,6,6,6,6,6,6,2,1,1,1,1,1
27373575,5,6,6,6,6,6,4,4,2,2,1,1
27494303,7,8,8,8,8,4,4,2,1,1,1,1
27614930,4,8,8,8,8,8,8,4,4,4,3,3
27735658,7,7,7,7,7,3,3,3,2,2,2,1
27856284,6,7,7,7,7,7,1,1,1,1,1,1
27976896,6,5,5,5,5,5,3,1,1,1,1,1
28097639,6,7,7,7,7,7,3,1,1,1,1,1
28218265,6,9,9,9,9,9,3,1,1,1,1,1
28338995,7,8,8,8,8,2,2,1,1,1,1,1
