tmstm,rssi,type,mac
233,-84,80,10c25a50cbd1
1143,-95,88,7829ed6d3da9
1160,-96,80,7829ed6d3da9
6231,-91,80,e067b357bdde
6308,-85,80,4c12655cf5bd
8041,-40,40,e4a471e5f2ef
9210,-90,80,58238ce84753
9418,-93,80,5a238ce84754
10653,-91,80,e894f6e6fc32
11183,-91,80,fcb4e6c5ee2a
11191,-82,80,9897d19bbdf8
11217,-89,80,d06f820dca00
11231,-87,80,986b3d79e9b0
11239,-50,40,e4a471e5f2ef
11242,-87,50,986b3d79e9b0
11251,-85,50,9897d19bbdf8
11286,-89,80,fcb4e6c5ee2a
11293,-88,80,9897d19bbdf8
11320,-83,80,d06f820dca00
11334,-84,80,986b3d79e9b0
11493,-91,48,0087017586e4
12086,-40,40,e4a471e5f2ef
14466,-95,80,10c25a50cbd1
16350,-90,40,18cf5e641db9
19210,-89,80,4c12655cf5bd
22214,-93,80,58238ce84753
22216,-94,80,5a238ce84754
24134,-89,80,986b3d79e9b0
24188,-88,80,fcb4e6c5ee2a
24195,-93,80,9897d19bbdf8
24222,-93,80,d06f820dca00
24444,-92,08,986b3d79e9b0
27164,-85,80,10c25a50cbd1
32215,-87,80,4c12655cf5bd
35223,-90,80,58238ce84753
35225,-88,80,5a238ce84754
37201,-86,80,9897d19bbdf8
37227,-86,80,d06f820dca00
37241,-90,80,986b3d79e9b0
37249,-92,50,986b3d79e9b0
37258,-86,50,9897d19bbdf8
37449,-91,08,986b3d79e9b0
37507,-85,80,9897d19bbdf8
37534,-91,80,d06f820dca00
37548,-89,80,986b3d79e9b0
37897,-87,88,986b3d79e9b0
38047,-86,08,d06f820dca00
40169,-90,80,10c25a50cbd1
48224,-85,80,58238ce84753
48226,-85,80,5a238ce84754
50206,-87,80,9897d19bbdf8
50232,-89,80,d06f820dca00
61605,-39,40,009acdbcffe3
63148,-90,80,986b3d79e9b0
63154,-83,88,d06f820dca00
63203,-89,80,fcb4e6c5ee2a
63210,-82,80,9897d19bbdf8
63237,-84,80,d06f820dca00
63237,-79,48,a49b4f1038aa
63329,-80,88,a49b4f1038aa
63333,-83,88,d06f820dca00
63353,-89,80,986b3d79e9b0
63397,-42,88,009acdbcffe3
63407,-91,80,fcb4e6c5ee2a
63441,-85,80,d06f820dca00
63458,-90,08,986b3d79e9b0
63517,-84,80,9897d19bbdf8
63539,-79,48,a49b4f1038aa
63557,-91,80,986b3d79e9b0
63600,-84,88,d06f820dca00
63612,-91,80,fcb4e6c5ee2a
63646,-84,80,d06f820dca00
63699,-42,88,009acdbcffe3
63722,-84,80,9897d19bbdf8
63762,-89,80,986b3d79e9b0
63833,-83,88,d06f820dca00
63920,-91,80,fcb4e6c5ee2a
63929,-89,d0,986b3d79e9b0
63953,-87,80,d06f820dca00
63957,-42,88,009acdbcffe3
63967,-88,80,986b3d79e9b0
64029,-83,80,9897d19bbdf8
64094,-85,88,d06f820dca00
64124,-92,80,fcb4e6c5ee2a
66178,-87,80,10c25a50cbd1
